"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","498.00","494.80","498.00","483.00","515.54K","0.93%"
"Apr 07, 2020","493.40","493.00","503.00","489.40","617.74K","2.79%"
"Apr 06, 2020","480.00","460.00","480.00","458.00","556.85K","6.43%"
"Apr 03, 2020","451.00","463.00","463.00","451.00","965.14K","0.22%"
"Apr 02, 2020","450.00","451.00","470.00","446.00","961.90K","-2.81%"
"Apr 01, 2020","463.00","468.00","474.80","459.60","970.91K","-0.94%"
"Mar 31, 2020","467.40","480.00","492.40","467.40","2.36M","-0.34%"
"Mar 30, 2020","469.00","484.80","484.80","459.80","850.66K","-4.87%"
"Mar 27, 2020","493.00","505.00","510.00","480.00","1.48M","2.28%"
"Mar 26, 2020","482.00","467.00","485.80","461.00","975.99K","4.78%"
"Mar 25, 2020","460.00","470.00","497.80","460.00","723.30K","4.64%"
"Mar 24, 2020","439.60","431.00","444.80","421.20","682.54K","5.93%"
"Mar 23, 2020","415.00","400.00","420.00","390.00","538.60K","1.22%"
"Mar 20, 2020","410.00","430.00","460.00","402.00","889.27K","4.06%"
"Mar 19, 2020","394.00","475.00","475.00","360.00","1.30M","-22.75%"
"Mar 17, 2020","510.00","555.00","559.00","510.00","529.22K","0.00%"
"Mar 16, 2020","510.00","555.00","559.00","510.00","529.22K","-10.53%"
"Mar 13, 2020","570.00","550.00","594.00","519.00","973.35K","-5.00%"
"Mar 12, 2020","600.00","622.00","625.00","581.00","845.01K","-6.32%"
"Mar 11, 2020","640.50","620.00","648.00","619.00","574.13K","5.00%"
"Mar 10, 2020","610.00","598.50","620.00","590.00","539.02K","0.99%"
"Mar 09, 2020","604.00","630.00","635.00","590.00","813.49K","-6.43%"
"Mar 06, 2020","645.50","677.00","678.50","645.50","304.14K","-4.65%"
"Mar 05, 2020","677.00","676.00","684.50","670.50","222.06K","1.73%"
"Mar 04, 2020","665.50","657.00","671.50","651.50","321.04K","2.07%"
"Mar 03, 2020","652.00","670.00","678.00","652.00","705.55K","0.38%"
"Mar 02, 2020","649.50","662.50","678.00","642.00","988.51K","-1.96%"
"Feb 28, 2020","662.50","690.00","690.00","662.00","611.79K","-4.95%"
"Feb 27, 2020","697.00","693.00","705.00","693.00","440.33K","1.01%"
"Feb 26, 2020","690.00","712.00","712.00","679.00","453.09K","-4.17%"
"Feb 24, 2020","720.00","740.00","740.00","720.00","193.29K","-4.00%"
"Feb 21, 2020","750.00","753.00","760.00","748.00","196.69K","-0.40%"
"Feb 20, 2020","753.00","767.00","767.00","753.00","252.95K","-0.13%"
"Feb 19, 2020","754.00","750.50","756.50","750.00","202.20K","0.27%"
"Feb 18, 2020","752.00","750.00","755.00","750.00","211.48K","0.27%"
"Feb 17, 2020","750.00","750.00","755.00","746.50","629.50K","0.67%"
"Feb 14, 2020","745.00","752.00","754.50","745.00","253.72K","-1.32%"
"Feb 13, 2020","755.00","750.00","755.00","748.00","419.64K","0.27%"
"Feb 12, 2020","753.00","755.50","755.50","749.50","297.89K","-0.33%"
"Feb 11, 2020","755.50","761.00","761.00","747.50","254.89K","-0.72%"
"Feb 10, 2020","761.00","762.00","762.00","751.50","191.23K","1.47%"
"Feb 07, 2020","750.00","760.00","765.00","750.00","201.53K","-1.32%"
"Feb 06, 2020","760.00","748.50","761.00","745.50","479.84K","2.15%"
"Feb 05, 2020","744.00","747.00","748.00","733.50","293.82K","0.47%"
"Feb 04, 2020","740.50","734.00","745.00","733.00","384.45K","3.42%"
"Feb 03, 2020","716.00","727.00","742.50","711.00","301.15K","-1.45%"
"Jan 31, 2020","726.50","721.50","742.00","708.00","371.76K","0.76%"
"Jan 30, 2020","721.00","719.00","735.00","717.50","188.57K","0.56%"
"Jan 29, 2020","717.00","728.00","728.50","710.00","291.09K","-1.44%"
"Jan 28, 2020","727.50","738.00","739.50","721.00","226.87K","-1.42%"
"Jan 27, 2020","738.00","748.00","748.00","738.00","157.72K","-0.27%"
"Jan 24, 2020","740.00","730.00","745.00","730.00","198.80K","1.37%"
"Jan 23, 2020","730.00","720.00","739.00","720.00","317.34K","1.81%"
"Jan 22, 2020","717.00","715.00","728.50","713.00","366.00K","0.28%"
"Jan 21, 2020","715.00","752.00","755.50","695.50","653.02K","-4.67%"
"Jan 20, 2020","750.00","796.00","796.00","750.00","284.67K","-6.60%"
"Jan 17, 2020","803.00","794.00","803.00","781.00","194.56K","1.07%"
"Jan 16, 2020","794.50","790.00","794.50","778.00","176.76K","0.57%"
"Jan 15, 2020","790.00","790.00","792.00","777.50","350.63K","-0.57%"
"Jan 14, 2020","794.50","794.50","795.00","775.00","1.58M","-0.06%"
"Jan 13, 2020","795.00","791.50","795.00","785.50","140.94K","0.00%"
"Jan 10, 2020","795.00","791.50","795.00","785.50","140.94K","0.06%"
"Jan 09, 2020","794.50","790.00","795.00","780.00","328.82K","0.57%"
"Jan 08, 2020","790.00","780.00","796.00","775.00","207.54K","-1.25%"
"Jan 07, 2020","800.00","784.00","800.00","780.50","224.33K","1.91%"
"Jan 06, 2020","785.00","776.00","787.50","760.00","143.50K","1.16%"
"Jan 03, 2020","776.00","776.50","797.00","764.00","474.51K","0.78%"
"Jan 02, 2020","770.00","790.00","790.00","759.00","312.53K","-1.97%"
"Dec 27, 2019","785.50","800.00","808.00","785.50","448.81K","-1.81%"
"Dec 26, 2019","800.00","762.00","812.00","762.00","235.55K","2.70%"
"Dec 23, 2019","779.00","779.50","780.00","768.50","401.28K","-0.06%"
"Dec 20, 2019","779.50","756.00","779.50","744.50","981.55K","3.25%"
"Dec 19, 2019","755.00","760.00","776.00","755.00","509.79K","-0.40%"
"Dec 18, 2019","758.00","762.00","762.00","752.50","461.85K","-0.26%"
"Dec 17, 2019","760.00","752.00","760.00","738.00","738.03K","1.06%"
"Dec 16, 2019","752.00","782.50","795.00","749.00","1.27M","-3.84%"
"Dec 13, 2019","782.00","790.00","810.00","779.00","633.88K","0.51%"
"Dec 12, 2019","778.00","784.50","788.50","777.50","529.70K","-1.52%"
"Dec 11, 2019","790.00","820.00","823.00","784.00","292.90K","-3.07%"
"Dec 10, 2019","815.00","815.00","820.00","807.50","77.24K","0.25%"
"Dec 09, 2019","813.00","830.00","832.00","813.00","298.67K","-1.81%"
"Dec 06, 2019","828.00","830.00","830.50","821.50","392.45K","-0.24%"
"Dec 05, 2019","830.00","820.00","830.00","811.00","616.37K","0.00%"
"Dec 04, 2019","830.00","824.50","830.00","804.00","508.25K","-0.18%"
"Dec 03, 2019","831.50","840.00","840.00","825.00","223.58K","-1.13%"
"Dec 02, 2019","841.00","810.00","841.00","807.00","280.45K","4.34%"
"Nov 29, 2019","806.00","806.00","807.50","795.50","261.87K","0.19%"
"Nov 28, 2019","804.50","803.00","806.50","802.50","294.12K","0.31%"
"Nov 27, 2019","802.00","799.00","813.50","795.00","524.80K","2.23%"
"Nov 26, 2019","784.50","820.00","824.00","784.50","1.41M","-4.33%"
"Nov 25, 2019","820.00","825.00","829.50","812.00","346.17K","-0.61%"
"Nov 22, 2019","825.00","810.00","825.00","792.00","436.63K","1.73%"
"Nov 21, 2019","811.00","825.00","825.50","810.00","288.73K","-1.58%"
"Nov 20, 2019","824.00","827.00","828.00","818.00","234.84K","-0.36%"
"Nov 19, 2019","827.00","828.00","831.50","824.00","242.24K","0.43%"
"Nov 18, 2019","823.50","831.00","832.00","820.50","129.15K","-0.78%"
"Nov 15, 2019","830.00","821.00","838.00","820.00","561.38K","1.47%"
"Nov 14, 2019","818.00","824.00","824.00","812.00","487.89K","-0.73%"
"Nov 13, 2019","824.00","839.00","839.00","822.50","574.74K","-1.90%"
"Nov 12, 2019","840.00","854.50","854.50","838.00","560.13K","-1.87%"
"Nov 11, 2019","856.00","852.00","863.00","849.00","306.74K","0.88%"
"Nov 08, 2019","848.50","870.00","870.00","846.00","405.11K","-2.13%"
"Nov 07, 2019","867.00","869.00","872.50","864.00","153.56K","0.58%"
"Nov 06, 2019","862.00","878.00","878.50","858.00","354.44K","-1.71%"
"Nov 05, 2019","877.00","865.00","880.00","865.00","1.90M","1.50%"
"Nov 04, 2019","864.00","865.00","865.00","861.50","718.92K","0.47%"
"Oct 31, 2019","860.00","865.00","870.00","856.00","408.14K","-0.58%"
"Oct 30, 2019","865.00","874.00","874.00","858.00","290.37K","0.00%"
"Oct 29, 2019","865.00","866.00","867.50","861.00","206.29K","0.58%"
"Oct 28, 2019","860.00","852.00","866.50","852.00","148.08K","1.30%"
"Oct 25, 2019","849.00","865.00","865.00","849.00","447.56K","-1.85%"
"Oct 24, 2019","865.00","865.00","868.50","863.50","260.13K","-0.06%"
"Oct 23, 2019","865.50","869.00","869.00","862.50","147.33K","-0.57%"
"Oct 22, 2019","870.50","869.00","873.00","860.00","368.44K","1.22%"
"Oct 21, 2019","860.00","855.50","860.00","852.50","225.14K","0.53%"
"Oct 18, 2019","855.50","865.00","871.50","855.00","264.46K","-1.10%"
"Oct 17, 2019","865.00","872.50","875.50","861.50","400.74K","-1.48%"
"Oct 16, 2019","878.00","879.00","888.00","870.50","224.84K","-0.06%"
"Oct 15, 2019","878.50","880.00","880.00","871.00","403.63K","0.11%"
"Oct 14, 2019","877.50","880.00","884.00","871.50","597.62K","0.86%"
"Oct 11, 2019","870.00","861.50","877.00","861.50","247.56K","1.05%"
"Oct 10, 2019","861.00","870.00","870.00","853.00","263.21K","-0.23%"
"Oct 09, 2019","863.00","864.00","864.00","857.00","210.25K","-0.23%"
"Oct 08, 2019","865.00","853.00","870.00","853.00","452.87K","1.76%"
