"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","98.50","101.60","101.80","97.50","5.56M","-2.96%"
"Apr 07, 2020","101.50","105.30","106.00","100.00","3.39M","-0.98%"
"Apr 06, 2020","102.50","100.00","102.60","99.60","2.20M","3.22%"
"Apr 03, 2020","99.30","101.70","101.70","98.30","2.34M","-0.70%"
"Apr 02, 2020","100.00","100.00","101.80","99.60","3.18M","-4.94%"
"Apr 01, 2020","105.20","103.50","107.20","99.60","3.65M","1.64%"
"Mar 31, 2020","103.50","103.50","106.00","102.50","3.70M","4.33%"
"Mar 30, 2020","99.20","102.10","102.30","97.05","2.60M","-2.84%"
"Mar 27, 2020","102.10","110.00","115.70","102.10","3.97M","-11.75%"
"Mar 26, 2020","115.70","101.80","115.70","101.40","4.77M","15.70%"
"Mar 25, 2020","100.00","98.30","100.50","96.80","3.25M","6.38%"
"Mar 24, 2020","94.00","94.70","96.00","92.35","4.38M","-0.74%"
"Mar 23, 2020","94.70","90.00","95.30","88.00","4.04M","-2.37%"
"Mar 20, 2020","97.00","91.00","97.00","88.20","5.08M","14.12%"
"Mar 19, 2020","85.00","92.10","99.80","75.00","10.90M","-22.73%"
"Mar 17, 2020","110.00","117.00","120.00","110.00","3.46M","0.00%"
"Mar 16, 2020","110.00","117.00","120.00","110.00","3.46M","-13.39%"
"Mar 13, 2020","127.00","112.80","129.60","99.00","4.99M","5.83%"
"Mar 12, 2020","120.00","132.10","132.10","120.00","4.32M","-11.76%"
"Mar 11, 2020","136.00","139.00","141.80","133.30","3.93M","-2.16%"
"Mar 10, 2020","139.00","126.10","139.00","125.00","3.88M","6.11%"
"Mar 09, 2020","131.00","136.50","137.70","131.00","2.70M","-7.42%"
"Mar 06, 2020","141.50","140.90","141.50","138.20","1.51M","0.35%"
"Mar 05, 2020","141.00","137.80","142.20","137.00","1.47M","3.07%"
"Mar 04, 2020","136.80","136.70","137.90","135.10","2.37M","-0.29%"
"Mar 03, 2020","137.20","137.00","138.10","136.10","2.33M","3.86%"
"Mar 02, 2020","132.10","138.00","138.40","132.10","4.38M","-4.96%"
"Feb 28, 2020","139.00","138.00","142.00","138.00","3.30M","-2.80%"
"Feb 27, 2020","143.00","137.00","144.60","136.40","4.35M","4.38%"
"Feb 26, 2020","137.00","142.90","142.90","136.30","6.60M","-4.40%"
"Feb 24, 2020","143.30","146.00","146.00","143.00","2.08M","-2.85%"
"Feb 21, 2020","147.50","148.00","148.70","147.50","1.12M","-0.67%"
"Feb 20, 2020","148.50","148.00","149.30","147.80","2.38M","0.54%"
"Feb 19, 2020","147.70","148.20","148.90","147.10","1.26M","-0.20%"
"Feb 18, 2020","148.00","149.00","150.00","148.00","1.46M","-1.27%"
"Feb 17, 2020","149.90","148.60","150.90","148.50","960.09K","0.94%"
"Feb 14, 2020","148.50","152.50","152.50","148.50","2.48M","-1.98%"
"Feb 13, 2020","151.50","151.00","154.00","150.50","999.77K","0.33%"
"Feb 12, 2020","151.00","152.00","152.30","150.70","732.30K","-0.66%"
"Feb 11, 2020","152.00","150.20","152.00","150.20","403.86K","1.33%"
"Feb 10, 2020","150.00","155.00","155.00","150.00","1.19M","-3.47%"
"Feb 07, 2020","155.40","150.50","155.40","150.00","618.39K","1.57%"
"Feb 06, 2020","153.00","152.50","153.00","150.60","1.73M","1.59%"
"Feb 05, 2020","150.60","152.50","152.60","149.20","1.25M","-0.07%"
"Feb 04, 2020","150.70","145.00","151.90","144.70","3.15M","4.29%"
"Feb 03, 2020","144.50","148.00","148.00","142.50","1.45M","-2.36%"
"Jan 31, 2020","148.00","153.90","153.90","145.60","4.37M","-3.90%"
"Jan 30, 2020","154.00","154.00","156.50","153.00","1.87M","0.00%"
"Jan 29, 2020","154.00","153.50","156.00","152.60","1.77M","0.33%"
"Jan 28, 2020","153.50","155.00","155.00","152.50","1.50M","-1.60%"
"Jan 27, 2020","156.00","155.80","156.00","153.20","258.47K","0.00%"
"Jan 24, 2020","156.00","155.50","156.90","155.40","597.16K","-0.64%"
"Jan 23, 2020","157.00","153.50","157.00","152.50","1.31M","2.28%"
"Jan 22, 2020","153.50","153.20","154.00","151.90","3.05M","0.20%"
"Jan 21, 2020","153.20","154.00","154.30","153.10","1.25M","-0.52%"
"Jan 20, 2020","154.00","157.50","157.50","153.30","1.30M","-2.22%"
"Jan 17, 2020","157.50","156.00","157.50","155.10","1.54M","1.55%"
"Jan 16, 2020","155.10","153.40","156.50","153.40","2.59M","1.24%"
"Jan 15, 2020","153.20","155.00","155.10","153.20","3.33M","-0.97%"
"Jan 14, 2020","154.70","153.50","155.00","153.00","4.24M","1.11%"
"Jan 13, 2020","153.00","152.80","154.50","151.00","1.87M","0.00%"
"Jan 10, 2020","153.00","152.80","154.50","151.00","1.87M","0.66%"
"Jan 09, 2020","152.00","153.50","154.20","152.00","2.85M","0.00%"
"Jan 08, 2020","152.00","153.00","153.70","151.50","2.49M","-1.94%"
"Jan 07, 2020","155.00","155.90","158.60","154.00","1.87M","0.00%"
"Jan 06, 2020","155.00","155.00","155.80","152.00","936.99K","0.00%"
"Jan 03, 2020","155.00","154.00","158.30","154.00","2.45M","0.65%"
"Jan 02, 2020","154.00","153.80","154.00","152.10","1.66M","-2.53%"
"Dec 27, 2019","158.00","157.40","158.00","155.30","2.25M","0.38%"
"Dec 26, 2019","157.40","153.30","157.40","153.30","359.26K","0.25%"
"Dec 23, 2019","157.00","157.80","159.80","153.10","1.87M","1.03%"
"Dec 20, 2019","155.40","155.10","156.80","149.20","4.57M","0.39%"
"Dec 19, 2019","154.80","159.90","159.90","151.00","2.08M","-2.03%"
"Dec 18, 2019","158.00","160.00","160.00","157.00","2.91M","-1.86%"
"Dec 17, 2019","161.00","156.20","161.00","154.60","1.59M","2.55%"
"Dec 16, 2019","157.00","159.50","159.70","157.00","1.76M","-1.94%"
"Dec 13, 2019","160.10","157.70","161.80","157.10","2.49M","0.82%"
"Dec 12, 2019","158.80","157.90","159.90","156.50","1.73M","0.57%"
"Dec 11, 2019","157.90","159.90","159.90","157.00","1.04M","-1.25%"
"Dec 10, 2019","159.90","160.00","160.00","158.80","1.10M","-0.06%"
"Dec 09, 2019","160.00","157.90","160.00","157.80","2.59M","2.24%"
"Dec 06, 2019","156.50","157.50","158.20","156.50","1.58M","-0.95%"
"Dec 05, 2019","158.00","159.00","159.00","157.00","2.10M","-0.32%"
"Dec 04, 2019","158.50","158.50","159.30","157.10","1.46M","0.00%"
"Dec 03, 2019","158.50","159.30","159.30","155.40","1.53M","0.32%"
