"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","5.680","5.980","5.980","5.650","2.15M","-3.73%"
"Apr 07, 2020","5.900","5.940","6.020","5.780","9.20M","0.17%"
"Apr 06, 2020","5.890","5.840","5.900","5.760","3.02M","-1.51%"
"Apr 03, 2020","5.980","6.000","6.000","5.680","2.13M","-0.33%"
"Apr 02, 2020","6.000","5.920","6.040","5.870","3.87M","0.00%"
"Apr 01, 2020","6.000","5.900","6.050","5.780","1.80M","0.00%"
"Mar 31, 2020","6.000","5.800","6.000","5.800","2.30M","2.21%"
"Mar 30, 2020","5.870","5.860","5.870","5.100","2.41M","2.98%"
"Mar 27, 2020","5.700","5.750","6.480","5.310","7.97M","7.55%"
"Mar 26, 2020","5.300","5.090","5.650","5.090","16.12M","13.49%"
"Mar 25, 2020","4.670","4.890","4.890","4.500","9.84M","4.47%"
"Mar 24, 2020","4.470","4.310","4.550","4.310","6.24M","3.95%"
"Mar 23, 2020","4.300","4.400","4.590","4.260","5.90M","-6.32%"
"Mar 20, 2020","4.590","4.500","5.300","4.400","4.36M","5.28%"
"Mar 19, 2020","4.360","4.900","4.900","4.030","18.51M","-18.50%"
"Mar 17, 2020","5.350","5.541","5.732","5.350","7.13M","0.00%"
"Mar 16, 2020","5.350","5.541","5.732","5.350","7.13M","-9.67%"
"Mar 13, 2020","5.923","5.704","6.019","5.446","14.49M","-2.36%"
"Mar 12, 2020","6.066","6.592","6.592","6.066","8.65M","-9.42%"
"Mar 11, 2020","6.697","6.401","6.879","6.401","4.86M","7.02%"
"Mar 10, 2020","6.258","6.640","6.831","6.258","6.15M","-7.88%"
"Mar 09, 2020","6.793","7.012","7.127","6.563","5.35M","-5.69%"
"Mar 06, 2020","7.203","7.012","7.318","6.907","7.64M","-1.60%"
"Mar 05, 2020","7.320","7.890","8.000","7.150","10.51M","-4.06%"
"Mar 04, 2020","7.630","8.000","8.000","7.520","7.61M","-4.62%"
"Mar 03, 2020","8.000","8.030","8.170","7.650","5.83M","-0.25%"
"Mar 02, 2020","8.020","8.100","8.100","7.910","2.00M","-1.60%"
"Feb 28, 2020","8.150","8.310","8.310","8.030","3.87M","-5.23%"
"Feb 27, 2020","8.600","8.330","8.600","8.300","1.97M","-1.04%"
"Feb 26, 2020","8.690","8.750","8.750","8.000","2.13M","-1.59%"
"Feb 24, 2020","8.830","8.970","8.970","8.780","686.00K","-1.89%"
"Feb 21, 2020","9.000","9.190","9.200","8.950","2.51M","-1.10%"
"Feb 20, 2020","9.100","8.990","9.180","8.950","5.02M","1.56%"
"Feb 19, 2020","8.960","8.950","9.010","8.920","2.43M","0.90%"
"Feb 18, 2020","8.880","8.720","9.000","8.720","3.41M","1.95%"
"Feb 17, 2020","8.710","8.660","8.910","8.600","2.17M","0.58%"
"Feb 14, 2020","8.660","8.930","8.930","8.600","4.02M","1.05%"
"Feb 13, 2020","8.570","8.950","8.950","8.560","2.20M","-2.61%"
"Feb 12, 2020","8.800","9.000","9.100","8.750","6.23M","-2.22%"
