"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","57.05","61.85","61.85","57.00","6.53M","-6.48%"
"Apr 07, 2020","61.00","62.95","63.40","59.70","3.21M","-1.61%"
"Apr 06, 2020","62.00","61.40","62.15","60.50","3.85M","2.31%"
"Apr 03, 2020","60.60","61.00","61.10","60.10","1.61M","0.08%"
"Apr 02, 2020","60.55","60.50","62.00","60.00","3.13M","-2.42%"
"Apr 01, 2020","62.05","61.50","62.45","61.00","3.07M","0.40%"
"Mar 31, 2020","61.80","62.80","63.90","60.70","3.72M","2.83%"
"Mar 30, 2020","60.10","63.90","63.90","59.15","3.57M","-6.02%"
"Mar 27, 2020","63.95","62.90","64.95","60.90","7.85M","5.70%"
"Mar 26, 2020","60.50","56.50","61.90","56.50","3.49M","9.21%"
"Mar 25, 2020","55.40","55.80","56.90","54.60","4.53M","6.54%"
"Mar 24, 2020","52.00","52.10","54.00","51.55","3.77M","1.17%"
"Mar 23, 2020","51.40","50.00","54.20","49.70","4.15M","-6.55%"
"Mar 20, 2020","55.00","56.50","59.00","52.00","3.89M","-0.90%"
"Mar 19, 2020","55.50","58.00","58.25","48.00","4.10M","-10.91%"
"Mar 17, 2020","62.30","65.00","66.00","60.15","1.90M","0.00%"
"Mar 16, 2020","62.30","65.00","66.00","60.15","1.90M","-8.38%"
"Mar 13, 2020","68.00","61.60","68.00","59.00","3.40M","3.82%"
"Mar 12, 2020","65.50","71.00","71.10","65.10","2.93M","-10.03%"
"Mar 11, 2020","72.80","72.10","73.45","71.50","2.69M","1.82%"
"Mar 10, 2020","71.50","66.00","74.00","64.00","3.07M","6.72%"
"Mar 09, 2020","67.00","72.00","72.00","67.00","2.59M","-10.07%"
"Mar 06, 2020","74.50","77.00","77.00","74.10","1.81M","-3.25%"
"Mar 05, 2020","77.00","78.45","78.95","75.75","1.72M","-0.96%"
"Mar 04, 2020","77.75","78.00","78.30","76.45","1.81M","-0.26%"
"Mar 03, 2020","77.95","76.50","78.50","76.50","2.46M","3.25%"
"Mar 02, 2020","75.50","75.50","76.25","74.10","3.77M","1.89%"
"Feb 28, 2020","74.10","79.95","79.95","74.10","3.98M","-7.38%"
"Feb 27, 2020","80.00","80.00","81.00","80.00","2.91M","-1.23%"
"Feb 26, 2020","81.00","81.50","81.65","80.00","4.13M","-0.74%"
"Feb 24, 2020","81.60","82.05","82.45","81.60","2.16M","-2.86%"
"Feb 21, 2020","84.00","86.00","86.00","83.50","4.59M","-1.18%"
"Feb 20, 2020","85.00","85.50","86.10","85.00","6.03M","-0.23%"
"Feb 19, 2020","85.20","84.00","85.85","84.00","1.20M","2.04%"
"Feb 18, 2020","83.50","84.20","85.00","83.50","1.32M","-1.30%"
"Feb 17, 2020","84.60","86.00","86.00","83.90","3.35M","-1.63%"
"Feb 14, 2020","86.00","87.00","87.10","85.55","1.78M","-1.15%"
"Feb 13, 2020","87.00","86.50","87.95","86.30","3.93M","0.93%"
"Feb 12, 2020","86.20","85.55","86.65","85.50","1.49M","0.47%"
"Feb 11, 2020","85.80","86.00","86.00","85.00","1.32M","-0.23%"
"Feb 10, 2020","86.00","86.10","86.10","84.70","1.18M","0.00%"
"Feb 07, 2020","86.00","85.90","86.10","84.85","1.19M","0.58%"
"Feb 06, 2020","85.50","85.00","85.95","84.55","1.56M","0.59%"
"Feb 05, 2020","85.00","83.30","85.65","83.30","2.43M","3.28%"
"Feb 04, 2020","82.30","81.75","83.90","81.50","1.36M","0.67%"
"Feb 03, 2020","81.75","82.50","82.70","81.30","875.39K","-0.91%"
"Jan 31, 2020","82.50","84.50","84.50","82.10","3.51M","-2.37%"
"Jan 30, 2020","84.50","83.00","84.50","82.75","2.52M","1.81%"
"Jan 29, 2020","83.00","83.00","83.30","82.05","1.66M","0.00%"
"Jan 28, 2020","83.00","82.70","83.25","81.85","745.58K","0.36%"
"Jan 27, 2020","82.70","82.30","83.00","82.30","1.00M","0.55%"
"Jan 24, 2020","82.25","82.15","82.55","82.15","3.02M","0.37%"
"Jan 23, 2020","81.95","82.00","82.90","81.90","1.34M","0.24%"
"Jan 22, 2020","81.75","83.80","83.80","81.05","5.45M","-2.45%"
"Jan 21, 2020","83.80","86.65","86.65","83.80","1.22M","-4.23%"
"Jan 20, 2020","87.50","87.05","87.50","84.55","860.25K","0.00%"
"Jan 17, 2020","87.50","84.50","87.50","84.50","1.93M","2.70%"
"Jan 16, 2020","85.20","83.85","85.50","83.85","2.01M","1.79%"
"Jan 15, 2020","83.70","86.45","86.45","83.65","3.22M","-3.57%"
"Jan 14, 2020","86.80","85.00","86.80","84.05","3.16M","0.35%"
"Jan 13, 2020","86.50","85.00","87.00","85.00","1.37M","0.00%"
"Jan 10, 2020","86.50","85.00","87.00","85.00","1.37M","1.76%"
"Jan 09, 2020","85.00","85.40","86.70","85.00","1.52M","-0.47%"
"Jan 08, 2020","85.40","86.50","86.50","84.15","2.09M","-1.33%"
