"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","2,160.00","2,186.00","2,186.00","2,104.00","80.83K","-1.55%"
"Apr 07, 2020","2,194.00","2,280.00","2,280.00","2,130.00","90.80K","-4.61%"
"Apr 06, 2020","2,300.00","2,050.00","2,300.00","2,050.00","116.13K","12.20%"
"Apr 03, 2020","2,050.00","2,006.00","2,050.00","1,978.00","109.87K","2.50%"
"Apr 02, 2020","2,000.00","2,000.00","2,000.00","1,973.00","52.55K","0.00%"
"Apr 01, 2020","2,000.00","1,912.00","2,000.00","1,912.00","79.43K","3.63%"
"Mar 31, 2020","1,930.00","1,916.00","1,949.00","1,913.00","77.70K","0.94%"
"Mar 30, 2020","1,912.00","1,910.00","1,949.00","1,910.00","56.11K","-1.90%"
"Mar 27, 2020","1,949.00","1,950.00","1,976.00","1,908.00","95.37K","0.98%"
"Mar 26, 2020","1,930.00","1,840.00","1,980.00","1,840.00","123.43K","4.89%"
"Mar 25, 2020","1,840.00","1,837.00","1,885.00","1,820.00","46.54K","1.32%"
"Mar 24, 2020","1,816.00","1,840.00","1,890.00","1,760.00","64.95K","-1.84%"
"Mar 23, 2020","1,850.00","1,650.00","1,850.00","1,650.00","85.18K","11.58%"
"Mar 20, 2020","1,658.00","1,745.00","1,769.00","1,650.00","102.60K","-4.99%"
"Mar 19, 2020","1,745.00","1,740.00","1,899.00","1,706.00","107.31K","-9.11%"
"Mar 17, 2020","1,920.00","1,792.00","1,920.00","1,681.00","94.53K","0.00%"
"Mar 16, 2020","1,920.00","1,792.00","1,920.00","1,681.00","94.53K","4.92%"
"Mar 13, 2020","1,830.00","1,690.00","1,853.00","1,590.00","158.40K","5.23%"
"Mar 12, 2020","1,739.00","1,750.00","1,779.00","1,702.00","115.82K","-0.63%"
"Mar 11, 2020","1,750.00","1,736.00","1,783.00","1,736.00","28.47K","1.04%"
"Mar 10, 2020","1,732.00","1,751.00","1,751.00","1,702.00","59.71K","-1.03%"
