"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","399.00","404.00","404.00","399.00","211.89K","-1.24%"
"Apr 07, 2020","404.00","410.00","419.80","403.40","330.10K","1.00%"
"Apr 06, 2020","400.00","403.00","409.80","399.00","265.18K","0.25%"
"Apr 03, 2020","399.00","405.20","407.60","395.20","207.01K","-1.04%"
"Apr 02, 2020","403.20","403.00","409.00","400.20","126.59K","0.05%"
"Apr 01, 2020","403.00","408.20","410.00","402.00","197.30K","-0.98%"
"Mar 31, 2020","407.00","402.60","415.40","402.00","233.41K","4.36%"
"Mar 30, 2020","390.00","419.80","419.80","382.00","338.88K","-4.65%"
"Mar 27, 2020","409.00","429.00","440.00","401.20","307.63K","-2.39%"
"Mar 26, 2020","419.00","448.00","448.00","410.20","213.67K","-2.56%"
"Mar 25, 2020","430.00","418.00","430.00","402.20","145.27K","10.54%"
"Mar 24, 2020","389.00","400.20","418.00","389.00","113.85K","-0.26%"
"Mar 23, 2020","390.00","400.00","410.00","381.00","186.60K","-4.18%"
"Mar 20, 2020","407.00","475.80","496.40","407.00","186.74K","-14.46%"
"Mar 19, 2020","475.80","486.00","509.00","290.00","155.08K","-6.98%"
"Mar 17, 2020","511.50","570.00","570.00","501.00","62.36K","0.00%"
"Mar 16, 2020","511.50","570.00","570.00","501.00","62.36K","-10.26%"
"Mar 13, 2020","570.00","550.00","586.00","470.00","171.41K","-1.72%"
"Mar 12, 2020","580.00","612.00","612.00","551.50","295.30K","-6.75%"
"Mar 11, 2020","622.00","620.00","643.00","610.50","88.58K","0.65%"
"Mar 10, 2020","618.00","610.00","639.50","600.00","104.73K","0.98%"
"Mar 09, 2020","612.00","700.00","700.00","612.00","246.00K","-13.80%"
"Mar 06, 2020","710.00","720.00","720.00","710.00","208.99K","-1.66%"
"Mar 05, 2020","722.00","735.00","748.00","720.50","72.26K","-3.54%"
"Mar 04, 2020","748.50","718.00","748.50","715.00","59.58K","3.81%"
"Mar 03, 2020","721.00","721.50","730.00","715.00","52.42K","-0.07%"
"Mar 02, 2020","721.50","711.00","740.00","705.00","98.18K","1.48%"
"Feb 28, 2020","711.00","715.00","715.50","704.00","171.64K","-1.59%"
"Feb 27, 2020","722.50","715.00","728.00","715.00","82.88K","0.35%"
"Feb 26, 2020","720.00","720.00","724.00","715.00","261.01K","-0.69%"
"Feb 24, 2020","725.00","736.00","736.00","721.00","65.35K","-0.82%"
"Feb 21, 2020","731.00","732.00","741.00","731.00","96.88K","-0.14%"
"Feb 20, 2020","732.00","727.50","749.50","727.50","94.39K","0.69%"
"Feb 19, 2020","727.00","734.00","734.00","724.50","108.88K","-1.09%"
"Feb 18, 2020","735.00","731.00","739.50","726.00","69.53K","0.55%"
"Feb 17, 2020","731.00","730.00","734.00","726.00","54.44K","1.32%"
"Feb 14, 2020","721.50","740.00","740.00","721.50","64.82K","-2.50%"
"Feb 13, 2020","740.00","724.00","740.00","722.50","154.79K","2.21%"
"Feb 12, 2020","724.00","727.50","733.00","721.50","266.61K","-0.41%"
"Feb 11, 2020","727.00","717.00","730.00","717.00","168.37K","1.39%"
"Feb 10, 2020","717.00","741.00","741.00","717.00","203.83K","-3.24%"
