"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","120.00","111.00","120.00","108.10","2.92M","8.60%"
"Apr 07, 2020","110.50","110.20","112.50","109.00","2.75M","4.25%"
"Apr 06, 2020","106.00","104.60","106.40","103.50","1.87M","3.92%"
"Apr 03, 2020","102.00","102.30","105.00","102.00","846.30K","0.00%"
"Apr 02, 2020","102.00","102.90","103.20","102.00","1.28M","-1.16%"
"Apr 01, 2020","103.20","107.00","109.60","103.00","2.53M","-3.01%"
"Mar 31, 2020","106.40","105.00","109.50","105.00","1.55M","3.30%"
"Mar 30, 2020","103.00","106.90","106.90","100.10","801.63K","-3.74%"
"Mar 27, 2020","107.00","107.40","111.00","103.00","3.59M","4.70%"
"Mar 26, 2020","102.20","100.00","104.50","99.00","3.23M","3.81%"
"Mar 25, 2020","98.45","101.80","101.80","98.00","4.03M","3.63%"
"Mar 24, 2020","95.00","98.95","99.85","95.00","1.60M","0.00%"
"Mar 23, 2020","95.00","98.00","99.90","91.50","2.58M","-5.00%"
"Mar 20, 2020","100.00","97.50","103.70","95.65","1.99M","9.77%"
"Mar 19, 2020","91.10","105.00","106.20","91.10","3.31M","-24.71%"
"Mar 17, 2020","121.00","133.00","134.00","120.50","2.24M","0.00%"
"Mar 16, 2020","121.00","133.00","134.00","120.50","2.24M","-13.88%"
"Mar 13, 2020","140.50","145.00","145.00","124.50","2.20M","-8.17%"
"Mar 12, 2020","153.00","162.00","162.00","150.00","1.20M","-8.00%"
"Mar 11, 2020","166.30","159.00","166.30","159.00","916.34K","5.25%"
"Mar 10, 2020","158.00","160.00","160.90","153.00","1.25M","-3.07%"
"Mar 09, 2020","163.00","170.00","170.10","161.50","1.14M","-7.65%"
"Mar 06, 2020","176.50","183.00","183.00","173.40","637.54K","-4.08%"
"Mar 05, 2020","184.00","175.00","184.00","171.30","1.14M","5.38%"
"Mar 04, 2020","174.60","168.70","174.60","167.20","869.40K","3.93%"
"Mar 03, 2020","168.00","168.10","172.00","168.00","1.16M","0.54%"
"Mar 02, 2020","167.10","169.90","172.00","165.00","990.99K","-1.71%"
"Feb 28, 2020","170.00","173.60","173.60","170.00","1.74M","-2.58%"
"Feb 27, 2020","174.50","175.40","180.00","174.50","652.78K","-0.34%"
"Feb 26, 2020","175.10","180.00","181.30","170.20","2.33M","-5.66%"
"Feb 24, 2020","185.60","190.20","190.20","185.20","1.24M","-1.80%"
"Feb 21, 2020","189.00","190.80","191.80","188.90","1.14M","0.53%"
"Feb 20, 2020","188.00","184.00","194.00","184.00","1.09M","2.17%"
"Feb 19, 2020","184.00","184.60","185.40","181.50","1.80M","-0.65%"
"Feb 18, 2020","185.20","189.60","189.70","185.20","500.99K","-1.91%"
"Feb 17, 2020","188.80","187.20","190.00","187.10","281.17K","1.94%"
"Feb 14, 2020","185.20","194.90","194.90","185.20","727.57K","-5.03%"
"Feb 13, 2020","195.00","192.00","195.00","191.00","275.40K","1.56%"
"Feb 12, 2020","192.00","192.00","194.00","191.00","507.22K","0.00%"
"Feb 11, 2020","192.00","191.00","193.90","191.00","811.21K","1.05%"
"Feb 10, 2020","190.00","193.00","194.00","190.00","514.38K","-1.30%"
"Feb 07, 2020","192.50","193.00","194.00","192.30","283.57K","0.31%"
"Feb 06, 2020","191.90","190.80","194.30","190.80","1.48M","0.68%"
"Feb 05, 2020","190.60","195.10","196.80","190.50","1.37M","-2.26%"
"Feb 04, 2020","195.00","197.50","200.00","195.00","1.28M","-0.51%"
"Feb 03, 2020","196.00","191.90","197.20","190.00","426.52K","2.51%"
"Jan 31, 2020","191.20","200.20","201.00","191.20","876.75K","-4.50%"
"Jan 30, 2020","200.20","202.20","203.00","200.00","580.18K","-1.67%"
"Jan 29, 2020","203.60","205.40","207.00","201.00","318.09K","-0.68%"
"Jan 28, 2020","205.00","213.20","213.20","204.40","795.77K","-3.85%"
"Jan 27, 2020","213.20","216.00","216.00","211.00","219.79K","-1.75%"
"Jan 24, 2020","217.00","211.60","217.00","211.00","596.56K","2.55%"
"Jan 23, 2020","211.60","209.00","212.00","208.00","278.02K","1.24%"
"Jan 22, 2020","209.00","209.40","215.00","207.80","367.87K","-0.19%"
"Jan 21, 2020","209.40","212.60","212.60","207.40","225.60K","-1.60%"
"Jan 20, 2020","212.80","214.00","214.40","210.00","310.91K","-0.37%"
"Jan 17, 2020","213.60","202.00","213.60","202.00","481.37K","6.27%"
"Jan 16, 2020","201.00","208.00","208.00","200.20","703.89K","-2.43%"
"Jan 15, 2020","206.00","211.00","212.00","206.00","308.32K","-2.83%"
"Jan 14, 2020","212.00","207.60","212.00","206.60","447.00K","2.61%"
"Jan 13, 2020","206.60","208.00","211.00","203.80","304.32K","0.00%"
"Jan 10, 2020","206.60","208.00","211.00","203.80","304.32K","-0.19%"
"Jan 09, 2020","207.00","210.40","211.80","207.00","463.59K","-1.52%"
"Jan 08, 2020","210.20","214.40","214.40","210.20","414.79K","-3.13%"
"Jan 07, 2020","217.00","213.00","217.00","213.00","777.46K","1.88%"
"Jan 06, 2020","213.00","213.80","213.80","205.80","444.13K","-0.84%"
"Jan 03, 2020","214.80","215.00","218.00","213.80","1.40M","0.85%"
"Jan 02, 2020","213.00","216.00","216.60","210.40","377.92K","-1.39%"
"Dec 27, 2019","216.00","216.20","217.00","214.60","302.99K","-0.09%"
"Dec 26, 2019","216.20","220.00","220.00","214.00","238.96K","-1.73%"
"Dec 23, 2019","220.00","213.00","220.00","213.00","394.71K","3.29%"
"Dec 20, 2019","213.00","216.20","218.00","209.00","1.40M","-1.39%"
"Dec 19, 2019","216.00","224.60","224.80","216.00","597.72K","-4.00%"
"Dec 18, 2019","225.00","225.00","225.00","223.20","935.25K","0.00%"
"Dec 17, 2019","225.00","223.80","225.00","220.00","1.16M","0.63%"
"Dec 16, 2019","223.60","224.00","228.00","222.40","1.00M","1.08%"
"Dec 13, 2019","221.20","217.00","223.20","216.20","875.71K","2.41%"
"Dec 12, 2019","216.00","207.00","216.00","205.80","806.66K","4.05%"
