"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","36.30","37.20","37.40","36.30","4.92M","-2.02%"
"Apr 07, 2020","37.05","38.10","38.40","37.05","6.28M","-0.27%"
"Apr 06, 2020","37.15","37.50","37.60","37.00","4.77M","0.41%"
"Apr 03, 2020","37.00","38.80","38.80","36.70","4.68M","-2.37%"
"Apr 02, 2020","37.90","38.70","39.00","37.60","4.23M","-5.13%"
"Apr 01, 2020","39.95","39.70","39.95","38.90","2.98M","-0.12%"
"Mar 31, 2020","40.00","38.25","40.45","38.25","7.02M","6.38%"
"Mar 30, 2020","37.60","37.80","37.80","36.20","3.88M","-0.79%"
"Mar 27, 2020","37.90","37.90","39.85","37.20","7.85M","4.99%"
"Mar 26, 2020","36.10","36.55","37.30","36.05","12.64M","0.56%"
"Mar 25, 2020","35.90","37.90","38.05","35.90","5.71M","1.70%"
"Mar 24, 2020","35.30","36.55","37.95","35.30","5.95M","-2.22%"
"Mar 23, 2020","36.10","37.50","38.50","35.00","3.25M","-7.67%"
"Mar 20, 2020","39.10","40.00","40.15","38.70","5.90M","0.26%"
"Mar 19, 2020","39.00","39.50","40.00","32.90","9.90M","-10.34%"
"Mar 17, 2020","43.50","44.00","44.10","41.55","2.53M","0.00%"
"Mar 16, 2020","43.50","44.00","44.10","41.55","2.53M","-3.76%"
"Mar 13, 2020","45.20","42.50","47.30","40.80","6.39M","4.27%"
"Mar 12, 2020","43.35","47.00","47.00","43.05","6.52M","-9.88%"
"Mar 11, 2020","48.10","51.70","51.70","47.80","3.48M","-2.53%"
"Mar 10, 2020","49.35","45.60","50.50","45.55","5.15M","3.89%"
"Mar 09, 2020","47.50","51.50","51.50","47.50","6.21M","-10.38%"
"Mar 06, 2020","53.00","56.00","56.00","53.00","3.47M","-5.36%"
"Mar 05, 2020","56.00","56.10","56.75","55.50","1.25M","-0.18%"
"Mar 04, 2020","56.10","54.70","56.10","53.75","2.70M","4.86%"
"Mar 03, 2020","53.50","56.20","56.35","53.50","4.28M","-2.90%"
"Mar 02, 2020","55.10","56.10","57.45","55.10","2.56M","-1.69%"
"Feb 28, 2020","56.05","57.25","57.30","56.05","4.44M","-2.10%"
"Feb 27, 2020","57.25","59.10","60.00","57.20","2.64M","-3.13%"
"Feb 26, 2020","59.10","59.00","59.20","57.20","4.38M","-1.66%"
"Feb 24, 2020","60.10","60.85","61.00","59.35","2.05M","-1.23%"
"Feb 21, 2020","60.85","61.00","61.10","60.60","2.46M","0.41%"
"Feb 20, 2020","60.60","59.00","60.90","59.00","6.02M","2.71%"
"Feb 19, 2020","59.00","58.35","59.30","58.35","1.53M","0.68%"
"Feb 18, 2020","58.60","58.50","59.50","58.50","2.58M","-0.68%"
"Feb 17, 2020","59.00","58.35","59.10","58.10","1.90M","1.72%"
"Feb 14, 2020","58.00","59.30","59.85","58.00","3.02M","-2.27%"
"Feb 13, 2020","59.35","59.00","59.70","58.45","1.95M","1.80%"
"Feb 12, 2020","58.30","58.50","59.50","58.30","2.01M","0.00%"
"Feb 11, 2020","58.30","59.75","60.50","58.30","1.00M","-0.85%"
"Feb 10, 2020","58.80","60.80","61.15","58.60","2.35M","-3.45%"
