"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","266.20","253.00","268.00","253.00","330.92K","0.00%"
"Apr 07, 2020","266.20","270.00","275.00","251.00","462.56K","2.38%"
"Apr 06, 2020","260.00","241.00","260.00","240.00","433.72K","8.33%"
"Apr 03, 2020","240.00","232.00","240.00","227.00","193.15K","3.45%"
"Apr 02, 2020","232.00","231.20","234.00","222.20","126.52K","0.35%"
"Apr 01, 2020","231.20","223.00","236.20","220.40","378.95K","2.76%"
"Mar 31, 2020","225.00","221.20","225.00","213.00","378.03K","4.94%"
"Mar 30, 2020","214.40","220.00","221.80","210.00","310.44K","-2.55%"
"Mar 27, 2020","220.00","225.00","230.00","218.20","385.35K","1.76%"
"Mar 26, 2020","216.20","216.60","224.80","212.60","513.83K","1.79%"
"Mar 25, 2020","212.40","218.00","220.00","210.20","382.37K","2.12%"
"Mar 24, 2020","208.00","214.00","214.00","206.00","483.81K","-4.59%"
"Mar 23, 2020","218.00","200.00","218.00","199.00","551.47K","9.00%"
"Mar 20, 2020","200.00","220.00","226.00","196.10","712.85K","-4.76%"
"Mar 19, 2020","210.00","218.80","230.00","189.70","696.65K","-13.58%"
"Mar 17, 2020","243.00","253.00","253.00","231.00","486.61K","2.23%"
"Mar 16, 2020","237.71","247.50","247.50","225.97","486.61K","1.25%"
"Mar 13, 2020","234.78","215.21","247.50","205.63","615.91K","4.26%"
"Mar 12, 2020","225.19","249.84","249.84","225.00","632.13K","-10.08%"
"Mar 11, 2020","250.43","248.47","259.04","248.47","432.12K","1.18%"
"Mar 10, 2020","247.50","251.41","251.41","245.54","373.28K","-1.94%"
"Mar 09, 2020","252.39","262.17","262.17","252.39","225.07K","-4.09%"
"Mar 06, 2020","263.15","261.19","263.15","258.45","192.03K","0.75%"
"Mar 05, 2020","261.19","263.15","263.93","259.23","288.34K","-0.15%"
"Mar 04, 2020","261.58","254.34","261.58","252.00","261.62K","3.72%"
"Mar 03, 2020","252.19","255.32","258.26","251.80","381.83K","-1.87%"
"Mar 02, 2020","257.00","265.00","266.00","257.00","558.75K","-4.74%"
"Feb 28, 2020","269.80","257.00","269.80","256.40","405.23K","3.77%"
"Feb 27, 2020","260.00","257.20","261.80","256.60","404.96K","1.17%"
"Feb 26, 2020","257.00","261.00","265.80","255.20","599.71K","-1.91%"
