"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","41.400","40.200","41.500","39.600","4.58M","2.99%"
"Apr 07, 2020","40.200","41.500","43.100","40.200","6.52M","-1.95%"
"Apr 06, 2020","41.000","39.100","41.000","38.000","4.22M","5.94%"
"Apr 03, 2020","38.700","37.400","39.750","36.650","7.33M","6.32%"
"Apr 02, 2020","36.400","38.000","38.100","36.400","3.90M","-4.21%"
"Apr 01, 2020","38.000","36.950","39.800","36.500","4.61M","4.25%"
"Mar 31, 2020","36.450","35.950","37.800","35.850","5.40M","1.25%"
"Mar 30, 2020","36.000","35.900","37.500","35.500","4.17M","-7.69%"
"Mar 27, 2020","39.000","35.400","39.000","35.400","6.86M","14.04%"
"Mar 26, 2020","34.200","32.500","35.150","32.500","3.30M","7.89%"
"Mar 25, 2020","31.700","32.000","32.300","31.600","3.23M","2.26%"
"Mar 24, 2020","31.000","31.100","31.750","30.650","2.01M","1.14%"
"Mar 23, 2020","30.650","30.500","31.700","30.500","880.70K","-4.22%"
"Mar 20, 2020","32.000","30.000","32.000","29.650","1.97M","10.34%"
"Mar 19, 2020","29.000","31.000","31.000","26.000","2.23M","-10.77%"
"Mar 17, 2020","32.500","31.900","33.150","30.100","1.07M","0.00%"
"Mar 16, 2020","32.500","31.900","33.150","30.100","1.07M","1.88%"
"Mar 13, 2020","31.900","30.600","33.000","29.850","4.64M","-2.00%"
"Mar 12, 2020","32.550","33.150","33.950","31.600","2.21M","-4.26%"
"Mar 11, 2020","34.000","33.000","34.000","33.000","3.79M","3.03%"
"Mar 10, 2020","33.000","33.400","34.000","32.300","3.15M","-3.08%"
"Mar 09, 2020","34.050","33.400","34.050","32.200","1.95M","0.00%"
"Mar 06, 2020","34.050","34.900","35.200","34.050","1.18M","-4.08%"
"Mar 05, 2020","35.500","35.500","36.800","35.350","4.26M","-1.39%"
"Mar 04, 2020","36.000","36.200","36.300","35.400","763.10K","1.41%"
"Mar 03, 2020","35.500","36.400","37.100","35.500","1.40M","-3.01%"
"Mar 02, 2020","36.600","36.000","37.200","35.600","296.50K","-1.08%"
"Feb 28, 2020","37.000","37.000","37.400","36.500","367.40K","-2.63%"
"Feb 27, 2020","38.000","38.500","38.500","37.150","188.50K","0.00%"
"Feb 26, 2020","38.000","37.550","38.000","35.000","499.70K","0.26%"
"Feb 24, 2020","37.900","38.000","38.300","37.550","583.80K","-0.26%"
"Feb 21, 2020","38.000","37.950","38.450","37.950","1.76M","2.70%"
"Feb 20, 2020","37.000","38.500","38.500","37.000","210.30K","-3.39%"
"Feb 19, 2020","38.300","38.200","38.500","38.200","2.27M","0.26%"
"Feb 18, 2020","38.200","38.300","38.350","38.150","1.70M","-0.13%"
"Feb 17, 2020","38.250","38.200","38.450","38.200","3.27M","0.13%"
"Feb 14, 2020","38.200","38.300","38.500","38.150","1.39M","-0.13%"
"Feb 13, 2020","38.250","38.400","38.500","38.250","936.80K","-0.65%"
"Feb 12, 2020","38.500","38.800","38.800","38.300","77.10K","-0.26%"
"Feb 11, 2020","38.600","38.500","38.600","38.300","556.30K","0.13%"
"Feb 10, 2020","38.550","38.650","39.050","38.250","1.01M","-0.26%"
"Feb 07, 2020","38.650","38.800","39.350","38.600","3.03M","0.39%"
"Feb 06, 2020","38.500","38.500","38.800","38.200","3.71M","0.26%"
"Feb 05, 2020","38.400","38.500","38.500","38.300","941.80K","0.39%"
"Feb 04, 2020","38.250","38.450","38.450","38.100","1.04M","-0.26%"
"Feb 03, 2020","38.350","38.100","38.650","38.100","816.80K","0.39%"
"Jan 31, 2020","38.200","39.000","39.200","37.950","1.59M","-0.78%"
"Jan 30, 2020","38.500","39.350","39.350","38.500","630.00K","-2.16%"
"Jan 29, 2020","39.350","39.000","39.400","38.950","150.40K","0.90%"
"Jan 28, 2020","39.000","39.500","39.750","39.000","357.10K","-1.89%"
"Jan 27, 2020","39.750","39.800","39.800","39.100","77.20K","-0.13%"
