"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","13.740","14.200","14.200","13.380","3.43M","-3.38%"
"Apr 07, 2020","14.220","14.540","15.000","14.200","2.87M","-1.93%"
"Apr 06, 2020","14.500","13.980","14.780","13.980","3.56M","4.47%"
"Apr 03, 2020","13.880","13.860","14.100","13.500","2.66M","1.46%"
"Apr 02, 2020","13.680","14.200","14.480","13.220","4.69M","-6.04%"
"Apr 01, 2020","14.560","15.000","15.000","13.500","1.92M","-1.89%"
"Mar 31, 2020","14.840","14.500","15.680","14.420","3.13M","6.00%"
"Mar 30, 2020","14.000","14.600","14.600","13.140","3.18M","-5.79%"
"Mar 27, 2020","14.860","15.000","15.860","14.540","3.37M","3.19%"
"Mar 26, 2020","14.400","13.000","15.000","13.000","3.80M","14.29%"
"Mar 25, 2020","12.600","12.940","13.200","12.420","3.18M","3.28%"
"Mar 24, 2020","12.200","12.500","13.000","12.020","1.97M","-2.40%"
"Mar 23, 2020","12.500","11.740","13.000","11.120","6.49M","6.47%"
"Mar 20, 2020","11.740","12.360","13.400","11.060","3.72M","-3.77%"
"Mar 19, 2020","12.200","14.540","14.540","10.000","5.68M","-20.78%"
"Mar 17, 2020","15.400","17.000","18.980","15.040","2.51M","0.00%"
"Mar 16, 2020","15.400","17.000","18.980","15.040","2.51M","-10.47%"
"Mar 13, 2020","17.200","16.920","18.000","15.800","2.66M","-4.44%"
"Mar 12, 2020","18.000","20.200","20.300","17.540","1.94M","-13.88%"
"Mar 11, 2020","20.900","20.950","21.850","20.150","3.54M","-0.24%"
"Mar 10, 2020","20.950","20.000","21.900","19.540","2.76M","4.75%"
"Mar 09, 2020","20.000","23.000","23.150","20.000","1.55M","-14.16%"
"Mar 06, 2020","23.300","23.800","24.050","22.900","461.00K","-3.32%"
"Mar 05, 2020","24.100","24.500","24.500","23.850","1.57M","-1.63%"
"Mar 04, 2020","24.500","23.100","24.500","22.450","1.38M","6.52%"
"Mar 03, 2020","23.000","22.200","23.200","22.200","4.85M","5.75%"
"Mar 02, 2020","21.750","21.600","22.750","21.500","2.90M","2.11%"
"Feb 28, 2020","21.300","23.100","23.550","21.300","2.99M","-8.97%"
"Feb 27, 2020","23.400","23.700","24.950","23.400","1.28M","-1.06%"
"Feb 26, 2020","23.650","24.950","24.950","23.000","2.38M","-5.40%"
"Feb 24, 2020","25.000","24.700","25.300","24.600","1.60M","-1.19%"
"Feb 21, 2020","25.300","25.900","25.900","25.150","2.44M","-1.17%"
"Feb 20, 2020","25.600","25.200","25.850","25.200","1.62M","1.59%"
"Feb 19, 2020","25.200","25.150","25.850","24.700","3.94M","2.44%"
"Feb 18, 2020","24.600","24.550","25.300","24.550","735.30K","0.00%"
