"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","61.500","61.950","61.950","58.500","1.49M","0.08%"
"Apr 07, 2020","61.450","63.000","63.000","61.000","252.73K","-3.98%"
"Apr 06, 2020","64.000","57.000","64.000","56.100","259.27K","14.29%"
"Apr 03, 2020","56.000","54.900","56.850","54.850","602.95K","2.00%"
"Apr 02, 2020","54.900","57.000","57.000","54.800","860.00K","-4.02%"
"Apr 01, 2020","57.200","57.000","57.200","55.150","143.46K","0.35%"
"Mar 31, 2020","57.000","57.000","57.800","55.000","644.60K","-3.31%"
"Mar 30, 2020","58.950","54.550","58.950","54.350","583.85K","8.17%"
"Mar 27, 2020","54.500","52.500","55.800","52.500","924.70K","4.41%"
"Mar 26, 2020","52.200","51.450","53.200","51.450","1.67M","1.46%"
"Mar 25, 2020","51.450","52.000","53.950","50.300","426.10K","5.00%"
"Mar 24, 2020","49.000","49.000","49.950","48.000","294.10K","-1.80%"
"Mar 23, 2020","49.900","49.800","50.000","48.000","252.00K","-0.10%"
"Mar 20, 2020","49.950","45.050","50.000","45.050","345.80K","8.35%"
"Mar 19, 2020","46.100","50.000","50.000","44.000","310.81K","-10.22%"
"Mar 17, 2020","51.350","54.000","54.000","50.000","51.17K","0.00%"
"Mar 16, 2020","51.350","54.000","54.000","50.000","51.17K","-4.91%"
"Mar 13, 2020","54.000","48.100","57.000","48.000","140.78K","3.85%"
"Mar 12, 2020","52.000","54.700","54.750","48.000","905.73K","-4.76%"
"Mar 11, 2020","54.600","57.000","57.550","53.500","423.33K","-2.50%"
"Mar 10, 2020","56.000","57.000","57.950","55.150","1.18M","-1.75%"
"Mar 09, 2020","57.000","60.150","60.150","56.700","584.51K","-7.32%"
"Mar 06, 2020","61.500","61.400","62.250","61.200","450.10K","0.00%"
"Mar 05, 2020","61.500","64.550","64.550","61.500","246.11K","0.00%"
"Mar 04, 2020","61.500","62.250","63.100","61.200","625.15K","-0.81%"
"Mar 03, 2020","62.000","69.950","69.950","61.750","859.73K","-4.62%"
"Mar 02, 2020","65.000","66.600","66.600","63.300","248.38K","-2.40%"
"Feb 28, 2020","66.600","69.800","69.800","64.950","263.98K","-5.60%"
"Feb 27, 2020","70.550","70.550","70.550","69.900","153.13K","0.00%"
"Feb 26, 2020","70.550","71.100","71.100","70.150","206.00K","-0.63%"
"Feb 24, 2020","71.000","72.100","72.100","70.800","190.13K","-1.87%"
"Feb 21, 2020","72.350","72.500","72.600","72.350","56.99K","-0.07%"
"Feb 20, 2020","72.400","71.200","73.500","71.100","171.35K","1.54%"
"Feb 19, 2020","71.300","71.000","71.400","71.000","429.51K","-0.14%"
"Feb 18, 2020","71.400","71.000","72.000","71.000","191.74K","0.56%"
"Feb 17, 2020","71.000","72.000","73.900","71.000","88.24K","-0.91%"
"Feb 14, 2020","71.650","71.600","74.500","71.600","579.85K","-1.44%"
"Feb 13, 2020","72.700","73.650","73.800","72.000","99.32K","-1.29%"
