"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","870.00","865.00","878.00","851.00","450.97K","-0.91%"
"Apr 07, 2020","878.00","875.00","878.00","860.50","333.10K","3.29%"
"Apr 06, 2020","850.00","827.50","850.00","804.00","371.73K","3.03%"
"Apr 03, 2020","825.00","823.00","833.00","817.50","196.50K","0.61%"
"Apr 02, 2020","820.00","800.00","820.00","795.50","256.03K","-0.73%"
"Apr 01, 2020","826.00","811.00","830.00","801.00","454.99K","0.98%"
"Mar 31, 2020","818.00","785.00","820.00","785.00","550.01K","6.23%"
"Mar 30, 2020","770.00","800.00","805.50","751.00","412.06K","-4.35%"
"Mar 27, 2020","805.00","846.00","870.00","802.00","667.12K","-4.73%"
"Mar 26, 2020","845.00","800.00","845.00","761.00","780.85K","5.63%"
"Mar 25, 2020","800.00","762.00","800.00","753.50","477.82K","7.02%"
"Mar 24, 2020","747.50","760.00","765.00","730.00","390.88K","0.20%"
"Mar 23, 2020","746.00","670.00","748.00","670.00","431.11K","3.40%"
"Mar 20, 2020","721.50","700.00","740.00","689.50","1.03M","8.17%"
"Mar 19, 2020","667.00","600.00","698.00","509.50","1.60M","-9.25%"
"Mar 17, 2020","735.00","750.00","800.00","735.00","653.42K","0.00%"
"Mar 16, 2020","735.00","750.00","800.00","735.00","653.42K","-11.61%"
"Mar 13, 2020","831.50","725.00","847.50","685.00","1.53M","5.25%"
"Mar 12, 2020","790.00","880.00","880.00","770.00","671.99K","-12.22%"
"Mar 11, 2020","900.00","905.00","940.00","890.50","946.44K","0.00%"
"Mar 10, 2020","900.00","886.00","919.00","862.00","413.92K","-0.28%"
"Mar 09, 2020","902.50","910.00","910.50","895.00","394.06K","-4.29%"
"Mar 06, 2020","943.00","963.00","963.00","936.00","288.05K","-0.74%"
"Mar 05, 2020","950.00","954.50","972.00","948.50","531.70K","0.53%"
"Mar 04, 2020","945.00","960.00","977.00","921.00","447.42K","-1.66%"
"Mar 03, 2020","961.00","967.00","986.00","956.50","354.97K","0.10%"
"Mar 02, 2020","960.00","965.00","989.50","950.00","511.23K","-1.49%"
"Feb 28, 2020","974.50","972.00","981.50","960.00","482.35K","-1.27%"
"Feb 27, 2020","987.00","970.50","987.00","969.50","219.92K","0.20%"
"Feb 26, 2020","985.00","1,000.00","1,000.00","978.00","719.40K","-2.48%"
"Feb 24, 2020","1,010.00","1,015.00","1,028.00","1,002.00","198.52K","-2.70%"
"Feb 21, 2020","1,038.00","1,034.00","1,045.00","1,016.00","178.01K","0.58%"
"Feb 20, 2020","1,032.00","1,054.00","1,059.00","1,032.00","185.33K","-0.58%"
"Feb 19, 2020","1,038.00","1,018.00","1,038.00","1,014.00","1.21M","2.57%"
"Feb 18, 2020","1,012.00","1,018.00","1,024.00","1,007.00","147.20K","-0.30%"
"Feb 17, 2020","1,015.00","992.00","1,020.00","990.00","787.66K","2.32%"
"Feb 14, 2020","992.00","1,008.00","1,010.00","992.00","569.09K","-1.78%"
"Feb 13, 2020","1,010.00","1,004.00","1,010.00","995.50","91.99K","0.80%"
"Feb 12, 2020","1,002.00","1,000.00","1,005.00","996.00","126.94K","0.20%"
"Feb 11, 2020","1,000.00","1,000.00","1,001.00","990.00","165.48K","0.00%"
"Feb 10, 2020","1,000.00","1,003.00","1,010.00","1,000.00","715.50K","0.00%"
"Feb 07, 2020","1,000.00","1,000.00","1,004.00","998.50","121.42K","0.00%"
"Feb 06, 2020","1,000.00","1,000.00","1,014.00","996.00","1.34M","0.00%"
"Feb 05, 2020","1,000.00","990.00","1,010.00","990.00","1.13M","1.68%"
"Feb 04, 2020","983.50","975.00","989.50","974.50","936.38K","0.92%"
"Feb 03, 2020","974.50","971.00","983.50","955.50","127.45K","0.36%"
"Jan 31, 2020","971.00","1,000.00","1,017.00","961.00","340.06K","-2.41%"
"Jan 30, 2020","995.00","1,020.00","1,020.00","995.00","311.89K","-1.78%"
"Jan 29, 2020","1,013.00","1,015.00","1,017.00","1,010.00","191.83K","-0.20%"
"Jan 28, 2020","1,015.00","1,025.00","1,025.00","1,012.00","214.51K","-0.98%"
"Jan 27, 2020","1,025.00","1,036.00","1,045.00","1,025.00","82.62K","-0.68%"
"Jan 24, 2020","1,032.00","1,046.00","1,049.00","1,025.00","396.51K","-1.71%"
"Jan 23, 2020","1,050.00","1,054.00","1,059.00","1,031.00","217.42K","2.44%"
"Jan 22, 2020","1,025.00","1,049.00","1,049.00","1,011.00","172.80K","-0.10%"
"Jan 21, 2020","1,026.00","1,030.00","1,045.00","1,021.00","1.14M","-0.39%"
"Jan 20, 2020","1,030.00","1,062.00","1,062.00","1,012.00","219.33K","-2.37%"
"Jan 17, 2020","1,055.00","1,069.00","1,069.00","1,040.00","212.70K","0.48%"
"Jan 16, 2020","1,050.00","1,058.00","1,062.00","1,038.00","391.97K","-0.94%"
"Jan 15, 2020","1,060.00","1,076.00","1,076.00","1,056.00","119.47K","-1.58%"
"Jan 14, 2020","1,077.00","1,074.00","1,077.00","1,046.00","478.25K","-0.19%"
"Jan 13, 2020","1,079.00","1,067.00","1,080.00","1,060.00","1.05M","0.00%"
"Jan 10, 2020","1,079.00","1,067.00","1,080.00","1,060.00","1.05M","0.65%"
"Jan 09, 2020","1,072.00","1,057.00","1,072.00","1,054.00","182.04K","1.61%"
"Jan 08, 2020","1,055.00","1,064.00","1,064.00","1,042.00","183.43K","-1.12%"
"Jan 07, 2020","1,067.00","1,040.00","1,078.00","1,040.00","225.72K","2.60%"
"Jan 06, 2020","1,040.00","1,037.00","1,048.00","1,025.00","121.65K","-1.05%"
"Jan 03, 2020","1,051.00","1,040.00","1,069.00","1,019.00","207.53K","1.15%"
"Jan 02, 2020","1,039.00","1,015.00","1,058.00","1,011.00","356.73K","-0.38%"
"Dec 27, 2019","1,043.00","1,068.00","1,080.00","1,039.00","428.45K","-1.23%"
"Dec 26, 2019","1,056.00","1,062.00","1,075.00","1,055.00","534.82K","-2.04%"
"Dec 23, 2019","1,078.00","1,056.00","1,080.00","1,056.00","214.49K","1.22%"
"Dec 20, 2019","1,065.00","1,034.00","1,065.00","1,000.00","765.46K","2.90%"
"Dec 19, 2019","1,035.00","1,051.00","1,052.00","1,027.00","470.42K","-1.90%"
"Dec 18, 2019","1,055.00","1,050.00","1,069.00","1,043.00","285.96K","0.48%"
"Dec 17, 2019","1,050.00","1,073.00","1,073.00","1,045.00","1.37M","-0.47%"
"Dec 16, 2019","1,055.00","1,071.00","1,075.00","1,055.00","333.58K","-1.31%"
"Dec 13, 2019","1,069.00","1,070.00","1,071.00","1,057.00","724.81K","0.94%"
"Dec 12, 2019","1,059.00","1,055.00","1,078.00","1,055.00","261.83K","-0.84%"
"Dec 11, 2019","1,068.00","1,052.00","1,079.00","1,052.00","189.90K","1.62%"
"Dec 10, 2019","1,051.00","1,060.00","1,069.00","1,051.00","159.51K","-0.85%"
"Dec 09, 2019","1,060.00","1,078.00","1,078.00","1,060.00","463.64K","-1.67%"
"Dec 06, 2019","1,078.00","1,080.00","1,080.00","1,064.00","136.84K","0.75%"
"Dec 05, 2019","1,070.00","1,063.00","1,080.00","1,063.00","797.50K","0.75%"
"Dec 04, 2019","1,062.00","1,077.00","1,077.00","1,060.00","1.59M","-0.65%"
"Dec 03, 2019","1,069.00","1,078.00","1,084.00","1,062.00","234.01K","-1.02%"
"Dec 02, 2019","1,080.00","1,060.00","1,080.00","1,060.00","179.67K","1.89%"
"Nov 29, 2019","1,060.00","1,090.00","1,090.00","1,056.00","282.65K","-0.93%"
"Nov 28, 2019","1,070.00","1,089.00","1,095.00","1,060.00","324.80K","-1.74%"
"Nov 27, 2019","1,089.00","1,090.00","1,100.00","1,087.00","473.39K","-0.18%"
"Nov 26, 2019","1,091.00","1,070.00","1,091.00","1,069.00","962.62K","1.49%"
"Nov 25, 2019","1,075.00","1,056.00","1,077.00","1,054.00","214.70K","0.84%"
"Nov 22, 2019","1,066.00","1,052.00","1,066.00","1,052.00","211.02K","-0.37%"
"Nov 21, 2019","1,070.00","1,070.00","1,070.00","1,050.00","232.49K","0.00%"
"Nov 20, 2019","1,070.00","1,070.00","1,070.00","1,051.00","122.67K","0.09%"
"Nov 19, 2019","1,069.00","1,069.00","1,080.00","1,061.00","275.13K","0.09%"
"Nov 18, 2019","1,068.00","1,060.00","1,075.00","1,060.00","856.04K","0.75%"
"Nov 15, 2019","1,060.00","1,070.00","1,070.00","1,050.00","332.73K","-0.93%"
"Nov 14, 2019","1,070.00","1,059.00","1,070.00","1,042.00","281.15K","1.04%"
"Nov 13, 2019","1,059.00","1,068.00","1,068.00","1,051.00","67.42K","-0.84%"
"Nov 12, 2019","1,068.00","1,058.00","1,068.00","1,054.00","129.93K","0.00%"
"Nov 11, 2019","1,068.00","1,060.00","1,070.00","1,060.00","115.41K","-0.19%"
"Nov 08, 2019","1,070.00","1,060.00","1,070.00","1,051.00","658.68K","0.00%"
"Nov 07, 2019","1,070.00","1,070.00","1,070.00","1,052.00","436.68K","1.23%"
"Nov 06, 2019","1,057.00","1,091.00","1,091.00","1,055.00","219.78K","-3.12%"
"Nov 05, 2019","1,091.00","1,034.00","1,091.00","1,034.00","729.66K","6.44%"
"Nov 04, 2019","1,025.00","1,030.00","1,035.00","1,022.00","1.14M","-0.49%"
"Oct 31, 2019","1,030.00","1,028.00","1,030.00","1,021.00","1.38M","0.29%"
"Oct 30, 2019","1,027.00","1,030.00","1,030.00","1,010.00","696.10K","0.00%"
"Oct 29, 2019","1,027.00","1,016.00","1,029.00","1,010.00","1.16M","0.29%"
"Oct 28, 2019","1,024.00","1,029.00","1,029.00","1,010.00","1.12M","-0.29%"
"Oct 25, 2019","1,027.00","1,036.00","1,037.00","1,013.00","1.13M","-0.29%"
"Oct 24, 2019","1,030.00","1,014.00","1,030.00","1,006.00","750.56K","1.58%"
"Oct 23, 2019","1,014.00","1,005.00","1,014.00","1,002.00","600.92K","0.00%"
"Oct 22, 2019","1,014.00","1,004.00","1,014.00","998.50","1.19M","0.90%"
"Oct 21, 2019","1,005.00","1,001.00","1,006.00","990.50","112.13K","0.20%"
"Oct 18, 2019","1,003.00","1,019.00","1,019.00","1,001.00","75.39K","-0.30%"
"Oct 17, 2019","1,006.00","1,004.00","1,009.00","997.50","1.11M","0.20%"
"Oct 16, 2019","1,004.00","995.00","1,004.00","983.00","650.63K","0.90%"
"Oct 15, 2019","995.00","1,010.00","1,010.00","993.50","274.06K","-1.49%"
"Oct 14, 2019","1,010.00","1,001.00","1,019.00","1,001.00","107.21K","0.00%"
"Oct 11, 2019","1,010.00","1,000.00","1,050.00","989.00","299.91K","1.00%"
"Oct 10, 2019","1,000.00","988.00","1,000.00","988.00","147.55K","1.27%"
"Oct 09, 2019","987.50","1,001.00","1,005.00","987.00","145.18K","-1.94%"
"Oct 08, 2019","1,007.00","989.00","1,009.00","975.50","387.83K","3.28%"
"Oct 07, 2019","975.00","986.00","991.00","975.00","772.27K","-1.52%"
"Oct 04, 2019","990.00","973.00","990.00","973.00","203.42K","1.75%"
"Oct 03, 2019","973.00","983.00","983.00","971.00","756.05K","-1.02%"
"Oct 02, 2019","983.00","978.00","988.00","977.50","782.33K","-0.41%"
"Oct 01, 2019","987.00","981.00","992.00","981.00","350.79K","1.65%"
"Sep 30, 2019","971.00","998.00","999.00","971.00","431.69K","-2.90%"
"Sep 27, 2019","1,000.00","1,007.00","1,007.00","995.00","180.79K","-0.70%"
"Sep 26, 2019","1,007.00","1,014.00","1,014.00","1,002.00","101.29K","-0.79%"
"Sep 25, 2019","1,015.00","1,006.00","1,015.00","995.00","217.62K","0.50%"
"Sep 24, 2019","1,010.00","1,005.00","1,010.00","993.00","588.38K","0.00%"
"Sep 23, 2019","1,010.00","1,004.00","1,011.00","990.00","150.36K","1.00%"
"Sep 20, 2019","1,000.00","1,005.00","1,005.00","997.00","1.06M","-0.50%"
"Sep 19, 2019","1,005.00","1,015.00","1,019.00","1,000.00","82.12K","-1.47%"
"Sep 18, 2019","1,020.00","1,000.00","1,020.00","987.00","625.24K","2.00%"
"Sep 17, 2019","1,000.00","1,015.00","1,018.00","999.50","190.15K","-1.48%"
"Sep 16, 2019","1,015.00","1,017.00","1,025.00","1,011.00","238.93K","-0.20%"
"Sep 13, 2019","1,017.00","1,014.00","1,030.00","1,011.00","135.39K","0.30%"
"Sep 12, 2019","1,014.00","1,020.00","1,023.00","1,011.00","752.22K","-1.07%"
"Sep 11, 2019","1,025.00","1,013.00","1,025.00","1,011.00","323.85K","0.99%"
"Sep 10, 2019","1,015.00","1,028.00","1,028.00","1,012.00","672.07K","-1.46%"
"Sep 09, 2019","1,030.00","1,048.00","1,048.00","1,022.00","99.83K","-1.72%"
"Sep 06, 2019","1,048.00","1,028.00","1,048.00","1,026.00","1.05M","1.65%"
"Sep 05, 2019","1,031.00","1,027.00","1,033.00","1,012.00","526.53K","-0.10%"
"Sep 04, 2019","1,032.00","1,005.00","1,032.00","997.00","223.63K","3.82%"
"Sep 03, 2019","994.00","1,013.00","1,035.00","994.00","196.52K","-2.45%"
"Sep 02, 2019","1,019.00","1,018.00","1,026.00","1,014.00","142.65K","-0.68%"
"Aug 30, 2019","1,026.00","1,027.00","1,037.00","1,007.00","541.57K","0.59%"
"Aug 29, 2019","1,020.00","1,008.00","1,025.00","990.00","248.59K","1.29%"
"Aug 28, 2019","1,007.00","992.00","1,007.00","985.50","302.15K","1.92%"
"Aug 27, 2019","988.00","990.00","1,000.00","985.50","1.10M","-1.59%"
"Aug 23, 2019","1,004.00","989.00","1,004.00","987.00","313.22K","0.40%"
"Aug 22, 2019","1,000.00","998.00","1,010.00","988.00","543.65K","-0.99%"
"Aug 20, 2019","1,010.00","1,020.00","1,020.00","997.00","322.34K","-0.98%"
"Aug 19, 2019","1,020.00","1,025.00","1,025.00","995.00","407.18K","-0.68%"
"Aug 16, 2019","1,027.00","1,018.00","1,037.00","1,008.00","1.55M","0.69%"
"Aug 15, 2019","1,020.00","990.00","1,020.00","979.00","507.21K","1.59%"
"Aug 14, 2019","1,004.00","980.00","1,026.00","978.00","338.50K","1.72%"
"Aug 13, 2019","987.00","986.50","988.00","958.00","274.52K","0.10%"
"Aug 09, 2019","986.00","990.00","997.00","977.50","375.50K","0.51%"
"Aug 08, 2019","981.00","990.00","997.00","972.50","234.49K","-0.91%"
"Aug 07, 2019","990.00","967.50","990.00","960.00","293.81K","3.13%"
"Aug 06, 2019","960.00","953.50","967.00","944.50","560.17K","-0.83%"
"Aug 05, 2019","968.00","1,000.00","1,005.00","968.00","367.40K","-3.20%"
"Aug 02, 2019","1,000.00","1,000.00","1,000.00","975.00","803.51K","0.00%"
"Aug 01, 2019","1,000.00","999.50","1,000.00","975.00","164.71K","0.05%"
"Jul 31, 2019","999.50","1,012.00","1,012.00","981.00","293.61K","-1.33%"
"Jul 30, 2019","1,013.00","1,020.00","1,020.00","993.00","863.13K","-0.69%"
"Jul 29, 2019","1,020.00","1,015.00","1,020.00","998.50","264.34K","0.99%"
"Jul 26, 2019","1,010.00","995.00","1,011.00","993.00","155.37K","-0.49%"
"Jul 25, 2019","1,015.00","996.50","1,015.00","980.00","241.66K","2.53%"
"Jul 24, 2019","990.00","990.00","1,007.00","988.00","174.62K","-1.00%"
"Jul 23, 2019","1,000.00","983.00","1,004.00","976.00","164.87K","1.68%"
"Jul 22, 2019","983.50","975.00","990.00","975.00","695.09K","-0.66%"
"Jul 19, 2019","990.00","982.00","998.50","982.00","132.94K","0.51%"
"Jul 18, 2019","985.00","980.00","1,000.00","980.00","72.86K","0.31%"
"Jul 17, 2019","982.00","990.50","1,010.00","977.00","224.55K","-0.81%"
"Jul 16, 2019","990.00","996.00","1,027.00","990.00","277.20K","-1.69%"
"Jul 15, 2019","1,007.00","970.00","1,007.00","970.00","488.50K","4.90%"
"Jul 12, 2019","960.00","980.00","981.00","960.00","173.48K","-2.04%"
"Jul 11, 2019","980.00","981.00","992.50","980.00","148.49K","0.00%"
"Jul 10, 2019","980.00","956.00","981.00","956.00","257.12K","3.16%"
"Jul 09, 2019","950.00","959.50","960.00","945.00","763.11K","-1.04%"
"Jul 08, 2019","960.00","980.00","983.50","960.00","97.11K","-2.34%"
"Jul 05, 2019","983.00","978.00","992.50","978.00","70.09K","0.67%"
"Jul 04, 2019","976.50","995.50","997.00","976.50","113.80K","-1.76%"
"Jul 03, 2019","994.00","996.00","997.50","981.50","673.84K","-0.20%"
"Jul 02, 2019","996.00","981.00","996.00","970.00","224.94K","1.48%"
"Jul 01, 2019","981.50","970.00","981.50","965.00","112.94K","1.29%"
