"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","1,100.00","1,128.00","1,128.00","1,081.00","223.50K","-2.65%"
"Apr 07, 2020","1,130.00","1,175.00","1,175.00","1,130.00","154.60K","-3.42%"
"Apr 06, 2020","1,170.00","1,121.00","1,170.00","1,121.00","127.28K","4.65%"
"Apr 03, 2020","1,118.00","1,120.00","1,130.00","1,110.00","87.31K","2.57%"
"Apr 02, 2020","1,090.00","1,146.00","1,146.00","1,090.00","148.80K","-5.95%"
"Apr 01, 2020","1,159.00","1,115.00","1,179.00","1,105.00","275.32K","2.66%"
"Mar 31, 2020","1,129.00","1,069.00","1,129.00","1,050.00","277.21K","5.51%"
"Mar 30, 2020","1,070.00","1,050.00","1,088.00","1,026.00","225.60K","0.00%"
"Mar 27, 2020","1,070.00","1,075.00","1,095.00","1,050.00","421.17K","0.38%"
"Mar 26, 2020","1,066.00","985.00","1,080.00","983.50","360.05K","9.78%"
"Mar 25, 2020","971.00","945.00","971.00","936.00","235.46K","5.43%"
"Mar 24, 2020","921.00","932.00","933.00","900.00","125.12K","0.11%"
"Mar 23, 2020","920.00","857.50","930.00","839.00","210.82K","6.91%"
"Mar 20, 2020","860.50","924.00","930.00","849.00","272.89K","-6.87%"
"Mar 19, 2020","924.00","885.00","924.00","805.00","255.08K","-5.71%"
"Mar 17, 2020","980.00","970.00","995.00","910.00","232.04K","0.00%"
"Mar 16, 2020","980.00","970.00","995.00","910.00","232.04K","-4.76%"
"Mar 13, 2020","1,029.00","920.00","1,059.00","880.00","321.74K","5.00%"
"Mar 12, 2020","980.00","1,015.00","1,019.00","980.00","228.68K","-3.92%"
"Mar 11, 2020","1,020.00","1,020.00","1,027.00","1,012.00","146.73K","0.99%"
"Mar 10, 2020","1,010.00","1,010.00","1,015.00","985.00","218.49K","-1.08%"
"Mar 09, 2020","1,021.00","1,030.00","1,030.00","1,011.00","149.35K","-3.59%"
"Mar 06, 2020","1,059.00","1,043.00","1,062.00","1,025.00","278.01K","1.53%"
"Mar 05, 2020","1,043.00","1,015.00","1,059.00","1,002.00","282.67K","2.76%"
"Mar 04, 2020","1,015.00","1,000.00","1,015.00","990.50","72.00K","1.30%"
"Mar 03, 2020","1,002.00","995.00","1,007.00","994.50","150.64K","1.98%"
"Mar 02, 2020","982.50","980.00","1,009.00","976.00","84.89K","-0.76%"
"Feb 28, 2020","990.00","990.00","995.50","980.00","239.41K","-0.95%"
"Feb 27, 2020","999.50","1,000.00","1,002.00","998.00","102.23K","-0.25%"
"Feb 26, 2020","1,002.00","1,009.00","1,010.00","990.00","270.07K","-1.09%"
"Feb 24, 2020","1,013.00","1,012.00","1,027.00","1,011.00","69.79K","-1.17%"
"Feb 21, 2020","1,025.00","1,022.00","1,048.00","1,022.00","99.29K","0.29%"
"Feb 20, 2020","1,022.00","1,045.00","1,047.00","1,022.00","26.95K","-2.20%"
"Feb 19, 2020","1,045.00","1,025.00","1,045.00","1,023.00","53.68K","0.87%"
"Feb 18, 2020","1,036.00","1,020.00","1,038.00","1,020.00","61.39K","1.57%"
"Feb 17, 2020","1,020.00","1,019.00","1,027.00","1,006.00","26.63K","2.00%"
"Feb 14, 2020","1,000.00","1,034.00","1,039.00","1,000.00","98.32K","-3.29%"
"Feb 13, 2020","1,034.00","1,015.00","1,045.00","1,015.00","60.49K","2.07%"
"Feb 12, 2020","1,013.00","1,015.00","1,027.00","1,007.00","96.17K","0.30%"
"Feb 11, 2020","1,010.00","1,022.00","1,027.00","1,002.00","117.94K","-1.66%"
"Feb 10, 2020","1,027.00","1,064.00","1,064.00","1,025.00","100.31K","-3.48%"
"Feb 07, 2020","1,064.00","1,085.00","1,085.00","1,059.00","97.49K","-2.65%"
"Feb 06, 2020","1,093.00","1,050.00","1,109.00","1,041.00","224.96K","4.10%"
"Feb 05, 2020","1,050.00","1,026.00","1,050.00","1,026.00","172.18K","2.94%"
"Feb 04, 2020","1,020.00","1,003.00","1,040.00","1,003.00","106.63K","1.80%"
"Feb 03, 2020","1,002.00","996.00","1,013.00","993.00","152.66K","0.60%"
"Jan 31, 2020","996.00","1,012.00","1,019.00","996.00","237.86K","-1.58%"
"Jan 30, 2020","1,012.00","1,014.00","1,030.00","1,012.00","442.22K","-0.30%"
"Jan 29, 2020","1,015.00","1,014.00","1,033.00","1,008.00","158.50K","0.89%"
"Jan 28, 2020","1,006.00","1,038.00","1,040.00","1,006.00","75.80K","-3.73%"
"Jan 27, 2020","1,045.00","1,061.00","1,062.00","1,038.00","61.02K","-1.51%"
"Jan 24, 2020","1,061.00","1,054.00","1,061.00","1,040.00","22.23K","0.57%"
"Jan 23, 2020","1,055.00","1,037.00","1,066.00","1,032.00","578.77K","1.74%"
"Jan 22, 2020","1,037.00","1,063.00","1,074.00","1,023.00","250.22K","-2.90%"
"Jan 21, 2020","1,068.00","1,066.00","1,078.00","1,046.00","54.11K","-0.19%"
"Jan 20, 2020","1,070.00","1,086.00","1,088.00","1,038.00","159.90K","-1.47%"
"Jan 17, 2020","1,086.00","1,080.00","1,091.00","1,076.00","58.04K","1.02%"
"Jan 16, 2020","1,075.00","1,083.00","1,090.00","1,065.00","126.19K","-0.65%"
"Jan 15, 2020","1,082.00","1,110.00","1,110.00","1,082.00","264.72K","-2.70%"
"Jan 14, 2020","1,112.00","1,090.00","1,112.00","1,072.00","218.39K","2.02%"
"Jan 13, 2020","1,090.00","1,090.00","1,092.00","1,072.00","86.00K","0.00%"
"Jan 10, 2020","1,090.00","1,090.00","1,092.00","1,072.00","86.00K","0.09%"
"Jan 09, 2020","1,089.00","1,046.00","1,089.00","1,041.00","203.46K","4.21%"
"Jan 08, 2020","1,045.00","1,050.00","1,056.00","1,033.00","147.21K","-0.48%"
"Jan 07, 2020","1,050.00","1,010.00","1,054.00","1,010.00","139.15K","4.17%"
"Jan 06, 2020","1,008.00","1,003.00","1,017.00","999.50","76.33K","0.00%"
"Jan 03, 2020","1,008.00","1,000.00","1,031.00","999.00","117.52K","1.41%"
"Jan 02, 2020","994.00","996.00","998.00","988.00","107.53K","0.61%"
"Dec 27, 2019","988.00","999.50","1,003.00","988.00","124.63K","-1.15%"
"Dec 26, 2019","999.50","1,020.00","1,023.00","998.50","91.49K","-2.01%"
"Dec 23, 2019","1,020.00","1,000.00","1,020.00","999.50","91.01K","2.00%"
"Dec 20, 2019","1,000.00","999.00","1,000.00","978.50","379.34K","0.10%"
