"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","122.00","121.80","122.00","116.00","1.68M","-0.49%"
"Apr 07, 2020","122.60","117.50","122.60","117.50","2.12M","5.06%"
"Apr 06, 2020","116.70","104.40","116.70","104.00","2.66M","13.30%"
"Apr 03, 2020","103.00","102.90","104.80","102.20","786.52K","1.48%"
"Apr 02, 2020","101.50","101.50","103.50","99.00","1.52M","-2.40%"
"Apr 01, 2020","104.00","103.30","107.40","102.00","2.58M","0.00%"
"Mar 31, 2020","104.00","98.15","104.00","98.00","3.71M","6.56%"
"Mar 30, 2020","97.60","98.15","98.15","95.00","1.52M","-0.41%"
"Mar 27, 2020","98.00","103.10","105.00","95.50","3.24M","-1.01%"
"Mar 26, 2020","99.00","99.00","100.50","98.10","4.54M","0.61%"
"Mar 25, 2020","98.40","98.15","100.80","96.85","2.36M","3.52%"
"Mar 24, 2020","95.05","106.00","108.00","95.05","1.39M","-7.99%"
"Mar 23, 2020","103.30","100.00","105.40","98.20","1.47M","-4.97%"
"Mar 20, 2020","108.70","112.00","118.00","105.00","1.99M","-1.18%"
"Mar 19, 2020","110.00","95.90","121.90","82.00","2.70M","-8.33%"
"Mar 17, 2020","120.00","116.00","126.80","110.00","3.17M","0.00%"
"Mar 16, 2020","120.00","116.00","126.80","110.00","3.17M","0.84%"
"Mar 13, 2020","119.00","109.10","121.70","100.00","3.03M","2.59%"
"Mar 12, 2020","116.00","115.30","119.80","112.10","1.33M","-3.33%"
"Mar 11, 2020","120.00","121.00","122.90","119.10","1.66M","2.13%"
"Mar 10, 2020","117.50","115.00","123.00","114.70","2.40M","-3.53%"
"Mar 09, 2020","121.80","130.30","130.60","121.80","819.52K","-8.42%"
"Mar 06, 2020","133.00","133.00","135.00","131.90","680.95K","0.53%"
"Mar 05, 2020","132.30","133.00","135.00","131.70","1.44M","1.07%"
"Mar 04, 2020","130.90","134.20","134.20","129.10","1.63M","-2.31%"
"Mar 03, 2020","134.00","139.30","141.50","134.00","1.86M","-3.32%"
"Mar 02, 2020","138.60","141.40","141.40","138.30","1.40M","-1.91%"
"Feb 28, 2020","141.30","139.00","142.00","138.50","1.78M","0.21%"
"Feb 27, 2020","141.00","140.50","143.60","139.80","1.88M","0.36%"
"Feb 26, 2020","140.50","146.50","146.50","139.10","2.55M","-4.10%"
"Feb 24, 2020","146.50","148.40","150.90","146.50","878.06K","-2.33%"
"Feb 21, 2020","150.00","150.50","150.80","149.10","818.69K","-0.33%"
"Feb 20, 2020","150.50","152.50","153.90","150.50","870.87K","-1.63%"
"Feb 19, 2020","153.00","149.20","153.00","149.00","807.04K","2.55%"
"Feb 18, 2020","149.20","149.00","151.80","148.80","443.65K","-0.20%"
"Feb 17, 2020","149.50","149.00","149.80","148.00","412.89K","0.34%"
"Feb 14, 2020","149.00","150.00","150.00","148.40","4.09M","0.00%"
