"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2004","1,628.50","1,628.50","1,636.50","1,620.50","70.29K","0.03%"
"Dec 30, 2004","1,628.00","1,633.50","1,638.00","1,626.00","73.64K","-0.34%"
"Dec 29, 2004","1,633.50","1,629.50","1,638.50","1,627.50","96.59K","0.21%"
"Dec 28, 2004","1,630.00","1,616.50","1,632.50","1,615.00","119.12K","0.80%"
"Dec 27, 2004","1,617.00","1,620.00","1,632.00","1,607.00","159.71K","-0.09%"
"Dec 23, 2004","1,618.50","1,617.00","1,628.00","1,613.50","111.65K","0.15%"
"Dec 22, 2004","1,616.00","1,615.00","1,629.00","1,611.00","188.07K","0.00%"
"Dec 21, 2004","1,616.00","1,603.50","1,620.50","1,602.00","211.18K","0.75%"
"Dec 20, 2004","1,604.00","1,610.00","1,623.50","1,595.00","242.69K","-0.23%"
"Dec 17, 2004","1,607.64","1,610.00","1,613.50","1,604.00","4.43K","-0.24%"
"Dec 16, 2004","1,611.50","1,622.00","1,626.00","1,600.50","21.69K","-0.74%"
"Dec 15, 2004","1,623.50","1,626.00","1,636.00","1,614.00","24.24K","-0.15%"
"Dec 14, 2004","1,626.00","1,621.00","1,633.00","1,616.50","38.21K","0.22%"
"Dec 13, 2004","1,622.50","1,608.50","1,623.00","1,608.00","38.53K","0.87%"
"Dec 10, 2004","1,608.50","1,608.50","1,611.50","1,599.50","54.40K","0.12%"
"Dec 09, 2004","1,606.50","1,601.50","1,617.00","1,578.00","174.42K","0.25%"
"Dec 08, 2004","1,602.50","1,592.50","1,608.50","1,588.00","354.20K","0.60%"
"Dec 07, 2004","1,593.00","1,619.00","1,629.00","1,591.00","378.08K","-1.58%"
"Dec 06, 2004","1,618.50","1,611.00","1,627.00","1,606.00","216.62K","0.43%"
"Dec 03, 2004","1,611.50","1,626.00","1,633.50","1,611.00","368.30K","-0.09%"
"Dec 02, 2004","1,613.00","1,603.00","1,625.50","1,599.00","312.45K","0.66%"
"Dec 01, 2004","1,602.50","1,576.00","1,609.00","1,574.50","289.47K","1.88%"
"Nov 30, 2004","1,573.00","1,578.50","1,585.50","1,572.00","282.26K","-0.29%"
"Nov 29, 2004","1,577.50","1,577.50","1,596.50","1,568.50","305.90K","0.00%"
"Nov 26, 2004","1,577.50","1,582.00","1,594.00","1,577.00","68.61K","-0.32%"
"Nov 24, 2004","1,582.50","1,570.00","1,585.50","1,569.50","162.83K","0.80%"
"Nov 23, 2004","1,570.00","1,571.00","1,575.50","1,554.00","268.58K","-0.10%"
"Nov 22, 2004","1,571.50","1,555.50","1,572.50","1,547.00","232.64K","0.87%"
"Nov 19, 2004","1,558.00","1,582.00","1,582.50","1,553.00","277.52K","-1.55%"
"Nov 18, 2004","1,582.50","1,575.00","1,584.50","1,565.50","281.14K","0.51%"
"Nov 17, 2004","1,574.50","1,556.00","1,583.00","1,556.00","376.93K","1.22%"
"Nov 16, 2004","1,555.50","1,562.50","1,564.00","1,543.50","284.02K","-0.51%"
"Nov 15, 2004","1,563.50","1,557.00","1,565.00","1,551.50","236.70K","0.51%"
