"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2020","169.30","169.50","169.50","169.00","0.43K","-0.12%"
"Apr 07, 2020","169.50","170.00","170.00","169.00","1.68K","1.19%"
"Apr 06, 2020","167.50","169.50","170.00","167.50","0.42K","-1.18%"
"Apr 03, 2020","169.50","168.00","169.50","168.00","0.12K","0.89%"
"Apr 02, 2020","168.00","168.00","168.00","168.00","0.02K","0.00%"
"Apr 01, 2020","168.00","168.70","168.80","157.00","0.09K","-0.47%"
"Mar 31, 2020","168.80","167.00","168.80","165.00","0.50K","-0.06%"
"Mar 30, 2020","168.90","170.00","170.00","157.10","2.79K","-1.80%"
"Mar 27, 2020","172.00","176.00","176.90","171.00","2.87K","0.00%"
"Mar 26, 2020","172.00","179.00","179.00","155.10","0.81K","9.90%"
"Mar 25, 2020","156.50","155.10","179.00","155.10","6.47K","4.26%"
"Mar 24, 2020","150.10","149.50","164.00","149.50","7.17K","3.52%"
"Mar 23, 2020","145.00","133.00","145.00","133.00","0.42K","9.77%"
"Mar 20, 2020","132.10","145.80","148.50","132.00","2.30K","-11.04%"
"Mar 19, 2020","148.50","148.00","149.00","145.80","0.47K","-0.34%"
"Mar 17, 2020","149.00","150.00","150.00","149.00","0.26K","0.00%"
"Mar 16, 2020","149.00","150.00","150.00","149.00","0.26K","0.68%"
"Mar 13, 2020","148.00","149.00","149.00","147.00","2.11K","-1.00%"
"Mar 12, 2020","149.50","152.50","152.50","149.50","22.87K","-0.53%"
"Mar 11, 2020","150.30","150.00","153.00","150.00","0.59K","-1.76%"
"Mar 10, 2020","153.00","148.00","153.00","148.00","1.99K","3.38%"
"Mar 09, 2020","148.00","170.00","170.00","148.00","6.84K","-11.38%"
"Mar 06, 2020","167.00","153.10","167.00","153.10","8.99K","9.08%"
"Mar 05, 2020","153.10","155.00","165.00","152.90","5.20K","-1.23%"
"Mar 04, 2020","155.00","160.10","160.10","155.00","5.22K","-3.13%"
"Mar 03, 2020","160.00","167.40","167.40","160.00","5.89K","-4.36%"
"Mar 02, 2020","167.30","172.00","172.00","167.10","1.03K","-2.68%"
"Feb 28, 2020","171.90","172.10","172.10","171.90","0.19K","-0.64%"
"Feb 27, 2020","173.00","172.70","173.00","172.10","0.40K","0.17%"
"Feb 26, 2020","172.70","175.00","175.00","172.70","0.15K","-0.17%"
"Feb 24, 2020","173.00","173.00","173.00","173.00","0.47K","-1.70%"
"Feb 21, 2020","176.00","177.00","177.00","176.00","0.07K","-0.56%"
"Feb 20, 2020","177.00","178.90","179.00","176.00","0.25K","2.31%"
"Feb 19, 2020","173.00","173.20","173.20","173.00","0.02K","-2.64%"
"Feb 18, 2020","177.70","178.70","179.30","177.70","0.12K","-0.62%"
"Feb 17, 2020","178.80","176.00","179.50","173.00","8.71K","1.59%"
"Feb 14, 2020","176.00","176.00","176.00","176.00","0.18K","0.00%"
"Feb 12, 2020","176.00","176.90","176.90","176.00","0.02K","2.33%"
"Feb 11, 2020","172.00","172.00","173.80","171.60","0.94K","0.00%"
"Feb 10, 2020","172.00","177.00","177.00","172.00","2.53K","-2.27%"
