"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2004","1,213.75","1,214.75","1,219.75","1,210.75","246.15K","-0.08%"
"Dec 30, 2004","1,214.75","1,216.75","1,219.00","1,213.50","210.32K","-0.18%"
"Dec 29, 2004","1,217.00","1,215.50","1,217.25","1,212.75","210.24K","0.12%"
"Dec 28, 2004","1,215.50","1,208.50","1,216.75","1,207.75","251.11K","0.58%"
"Dec 27, 2004","1,208.50","1,212.25","1,217.00","1,207.25","297.07K","-0.27%"
"Dec 23, 2004","1,211.75","1,210.75","1,216.50","1,209.00","268.93K","0.06%"
"Dec 22, 2004","1,211.00","1,207.25","1,214.25","1,206.75","401.65K","0.25%"
"Dec 21, 2004","1,208.00","1,198.50","1,208.50","1,197.25","451.96K","0.77%"
"Dec 20, 2004","1,198.75","1,197.50","1,206.75","1,195.25","494.26K","0.70%"
"Dec 17, 2004","1,190.45","1,203.50","1,206.75","1,193.50","6.22K","-1.15%"
"Dec 16, 2004","1,204.25","1,204.75","1,208.25","1,198.00","56.44K","-0.04%"
"Dec 15, 2004","1,204.75","1,204.25","1,207.00","1,199.00","53.34K","0.06%"
"Dec 14, 2004","1,204.00","1,199.75","1,205.75","1,197.00","122.64K","0.31%"
"Dec 13, 2004","1,200.25","1,189.50","1,200.50","1,189.50","91.35K","0.88%"
"Dec 10, 2004","1,189.75","1,188.50","1,192.00","1,184.75","233.89K","0.11%"
"Dec 09, 2004","1,188.50","1,183.50","1,191.50","1,173.50","321.64K","0.38%"
"Dec 08, 2004","1,184.00","1,177.25","1,184.75","1,176.00","691.27K","0.53%"
"Dec 07, 2004","1,177.75","1,189.25","1,193.50","1,177.00","802.91K","-0.97%"
"Dec 06, 2004","1,189.25","1,189.25","1,193.25","1,185.25","456.19K","0.00%"
"Dec 03, 2004","1,189.25","1,193.75","1,198.50","1,185.75","827.49K","-0.10%"
"Dec 02, 2004","1,190.50","1,189.50","1,195.75","1,187.00","716.56K","0.06%"
"Dec 01, 2004","1,189.75","1,175.50","1,192.25","1,175.00","707.87K","1.34%"
"Nov 30, 2004","1,174.00","1,176.50","1,179.50","1,173.00","687.32K","-0.17%"
"Nov 29, 2004","1,176.00","1,180.50","1,191.25","1,172.25","812.90K","-0.40%"
"Nov 26, 2004","1,180.75","1,182.00","1,187.50","1,179.25","179.48K","-0.11%"
"Nov 24, 2004","1,182.00","1,178.75","1,183.25","1,178.00","428.30K","0.23%"
"Nov 23, 2004","1,179.25","1,178.00","1,180.50","1,171.50","635.02K","0.11%"
"Nov 22, 2004","1,178.00","1,172.00","1,179.00","1,166.50","531.35K","0.49%"
"Nov 19, 2004","1,172.25","1,185.00","1,185.75","1,169.25","723.84K","-1.08%"
"Nov 18, 2004","1,185.00","1,184.00","1,186.25","1,180.50","527.78K","0.06%"
"Nov 17, 2004","1,184.25","1,177.50","1,189.75","1,177.25","831.38K","0.57%"
"Nov 16, 2004","1,177.50","1,185.25","1,185.75","1,175.75","658.44K","-0.72%"
"Nov 15, 2004","1,186.00","1,183.00","1,186.00","1,180.50","625.70K","0.27%"
"Nov 12, 2004","1,182.75","1,173.25","1,184.75","1,171.75","676.26K","0.77%"
"Nov 11, 2004","1,173.75","1,165.00","1,176.00","1,163.00","548.87K","0.77%"
"Nov 10, 2004","1,164.75","1,164.50","1,170.50","1,162.75","694.10K","0.04%"
"Nov 09, 2004","1,164.25","1,166.50","1,170.00","1,162.75","589.79K","-0.19%"
"Nov 08, 2004","1,166.50","1,167.00","1,167.50","1,162.25","439.65K","-0.11%"
"Nov 05, 2004","1,167.75","1,160.50","1,171.75","1,158.25","833.45K","0.62%"
"Nov 04, 2004","1,160.50","1,144.25","1,162.00","1,142.00","897.59K","1.35%"
"Nov 03, 2004","1,145.00","1,130.50","1,149.00","1,127.25","981.51K","1.28%"
"Nov 02, 2004","1,130.50","1,130.75","1,141.00","1,127.75","831.11K","-0.02%"
"Nov 01, 2004","1,130.75","1,127.50","1,134.00","1,126.25","494.67K","0.04%"
"Oct 29, 2004","1,130.25","1,127.75","1,132.00","1,124.50","556.56K","0.24%"
"Oct 28, 2004","1,127.50","1,124.00","1,131.25","1,120.25","664.43K","0.24%"
"Oct 27, 2004","1,124.75","1,111.00","1,126.75","1,106.75","963.33K","1.19%"
"Oct 26, 2004","1,111.50","1,095.50","1,112.00","1,094.50","806.76K","1.48%"
"Oct 25, 2004","1,095.25","1,095.50","1,097.00","1,088.00","735.24K","-0.07%"
"Oct 22, 2004","1,096.00","1,106.25","1,109.75","1,094.75","664.67K","-1.06%"
"Oct 21, 2004","1,107.75","1,101.75","1,109.25","1,098.00","813.59K","0.54%"
"Oct 20, 2004","1,101.75","1,103.50","1,104.25","1,093.75","863.73K","-0.16%"
"Oct 19, 2004","1,103.50","1,113.50","1,118.50","1,102.00","854.83K","-0.85%"
